Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:57:29.424480,15:57:31.645670,1,-1.0
1,15:57:29.424480,15:57:31.956717,1,-1.0
1,15:57:29.424480,15:57:33.224242,-1,-1.0
1,15:57:29.424480,15:57:33.434160,-1,-1.0
1,15:57:29.424480,15:57:33.648903,-1,-1.0
1,15:57:29.424480,15:57:33.874557,-1,-1.0
1,15:57:29.424480,15:57:34.098716,1,-1.0
1,15:57:29.424480,15:57:36.814158,-1,-1.0
1,15:57:29.424480,15:57:37.021923,-1,-1.0
1,15:57:29.424480,15:57:37.228767,-1,-1.0
1,15:57:29.424480,15:57:41.487752,-1,-1.0
1,15:57:29.424480,15:57:41.714973,1,-1.0
1,15:57:29.424480,15:57:41.894650,1,-1.0
1,15:57:29.424480,15:57:42.088639,1,-1.0
1,15:57:29.424480,15:57:42.315486,1,-1.0
1,15:57:29.424480,15:57:45.444891,-1,-1.0
1,15:57:29.424480,15:57:45.619232,-1,-1.0
1,15:57:29.424480,15:57:45.822657,-1,-1.0
1,15:57:29.424480,15:57:46.028764,-1,-1.0
1,15:57:29.424480,15:57:46.540052,1,-1.0
1,15:57:29.424480,15:57:46.745799,1,-1.0
1,15:57:29.424480,15:57:46.952368,1,-1.0
1,15:57:29.424480,15:57:47.156662,1,-1.0
1,15:57:29.424480,15:57:47.346174,1,-1.0
1,15:57:29.424480,15:57:47.570474,1,-1.0
1,15:57:29.424480,15:57:47.765477,1,-1.0
1,15:57:29.424480,15:57:48.189365,-1,-1.0
1,15:57:29.424480,15:57:48.392878,-1,-1.0
1,15:57:29.424480,15:57:48.627599,-1,-1.0
1,15:57:29.424480,15:57:48.843684,-1,-1.0
