Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:13:28.819577,23:13:38.649780,-1,-1.0
1,23:13:28.819577,23:13:40.020755,-1,-1.0
1,23:13:28.819577,23:13:40.560671,1,-1.0
1,23:13:28.819577,23:13:40.774820,1,-1.0
1,23:13:28.819577,23:13:40.949763,1,-1.0
1,23:13:28.819577,23:13:41.141397,1,-1.0
1,23:13:28.819577,23:13:41.312081,1,-1.0
1,23:13:28.819577,23:13:41.503776,1,-1.0
1,23:13:28.819577,23:13:41.696059,1,-1.0
1,23:13:28.819577,23:13:41.932994,1,-1.0
1,23:13:28.819577,23:13:42.148516,1,-1.0
1,23:13:28.819577,23:13:42.392038,1,-1.0
1,23:13:28.819577,23:13:42.574173,1,-1.0
1,23:13:28.819577,23:13:42.798236,1,-1.0
1,23:13:28.819577,23:13:43.004248,1,-1.0
1,23:13:28.819577,23:13:43.206485,1,-1.0
1,23:13:28.819577,23:13:43.399149,1,-1.0
1,23:13:28.819577,23:13:43.594108,1,-1.0
1,23:13:28.819577,23:13:43.777259,1,-1.0
1,23:13:28.819577,23:13:43.980319,1,-1.0
1,23:13:28.819577,23:13:44.183726,1,-1.0
1,23:13:28.819577,23:13:44.398006,1,-1.0
1,23:13:28.819577,23:13:44.589612,1,-1.0
1,23:13:28.819577,23:13:44.804230,1,-1.0
1,23:13:28.819577,23:13:44.995407,1,-1.0
1,23:13:28.819577,23:13:45.217553,1,-1.0
1,23:13:28.819577,23:13:45.429784,1,-1.0
1,23:13:28.819577,23:13:45.612442,1,-1.0
1,23:13:28.819577,23:13:45.836134,1,-1.0
1,23:13:28.819577,23:13:46.018347,1,-1.0
1,23:13:28.819577,23:13:46.222764,1,-1.0
1,23:13:28.819577,23:13:46.301047,-1,-1.0
1,23:13:28.819577,23:13:46.497071,-1,-1.0
1,23:13:28.819577,23:13:46.672191,-1,-1.0
1,23:13:28.819577,23:13:46.872962,-1,-1.0
1,23:13:28.819577,23:13:47.045929,-1,-1.0
1,23:13:28.819577,23:13:47.236991,-1,-1.0
1,23:13:28.819577,23:13:47.419649,-1,-1.0
1,23:13:28.819577,23:13:47.634456,-1,-1.0
1,23:13:28.819577,23:13:47.824862,-1,-1.0
1,23:13:28.819577,23:13:48.037796,-1,-1.0
1,23:13:28.819577,23:13:48.212159,-1,-1.0
1,23:13:28.819577,23:13:48.405909,-1,-1.0
1,23:13:28.819577,23:13:48.589675,-1,-1.0
1,23:13:28.819577,23:13:48.794526,-1,-1.0
1,23:13:28.819577,23:13:48.987422,-1,-1.0
1,23:13:28.819577,23:13:49.183121,-1,-1.0
1,23:13:28.819577,23:13:49.365013,-1,-1.0
1,23:13:28.819577,23:13:49.558131,-1,-1.0
1,23:13:28.819577,23:13:49.754934,-1,-1.0
1,23:13:28.819577,23:13:49.968307,-1,-1.0
1,23:13:28.819577,23:13:50.169124,-1,-1.0
1,23:13:28.819577,23:13:50.362195,-1,-1.0
1,23:13:28.819577,23:13:50.578197,-1,-1.0
1,23:13:28.819577,23:13:50.771961,-1,-1.0
1,23:13:28.819577,23:13:51.016227,-1,-1.0
1,23:13:28.819577,23:13:51.221319,-1,-1.0
1,23:13:28.819577,23:13:51.437079,-1,-1.0
1,23:13:28.819577,23:13:51.658883,-1,-1.0
1,23:13:28.819577,23:13:51.917777,-1,-1.0
1,23:13:28.819577,23:13:52.548502,-1,-1.0
1,23:13:28.819577,23:13:52.899950,-1,-1.0
1,23:13:28.819577,23:13:53.072200,-1,-1.0
1,23:13:28.819577,23:13:53.297059,-1,-1.0
1,23:13:28.819577,23:13:53.512133,-1,-1.0
1,23:13:28.819577,23:13:53.717462,-1,-1.0
1,23:13:28.819577,23:13:53.899802,-1,-1.0
1,23:13:28.819577,23:13:54.092105,-1,-1.0
1,23:13:28.819577,23:13:54.305397,-1,-1.0
1,23:13:28.819577,23:13:54.497255,-1,-1.0
1,23:13:28.819577,23:13:54.668517,-1,-1.0
1,23:13:28.819577,23:13:54.882772,-1,-1.0
1,23:13:28.819577,23:13:55.065648,-1,-1.0
1,23:13:28.819577,23:13:55.298209,-1,-1.0
1,23:13:28.819577,23:13:55.492032,-1,-1.0
1,23:13:28.819577,23:13:55.706895,-1,-1.0
1,23:13:28.819577,23:13:55.912092,-1,-1.0
1,23:13:28.819577,23:13:56.043915,-1,-1.0
1,23:13:28.819577,23:13:56.266286,-1,-1.0
1,23:13:28.819577,23:13:56.469437,-1,-1.0
1,23:13:28.819577,23:13:56.619838,-1,-1.0
1,23:13:28.819577,23:13:56.772930,1,-1.0
1,23:13:28.819577,23:13:56.985478,1,-1.0
1,23:13:28.819577,23:13:57.171061,1,-1.0
1,23:13:28.819577,23:13:57.366087,1,-1.0
1,23:13:28.819577,23:13:57.532748,1,-1.0
1,23:13:28.819577,23:13:57.720645,1,-1.0
1,23:13:28.819577,23:13:57.935058,1,-1.0
1,23:13:28.819577,23:13:58.114522,1,-1.0
1,23:13:28.819577,23:13:58.326881,1,-1.0
1,23:13:28.819577,23:13:58.574449,1,-1.0
1,23:13:28.819577,23:13:58.755727,1,-1.0
1,23:13:28.819577,23:13:58.958790,1,-1.0
1,23:13:28.819577,23:13:59.165189,1,-1.0
1,23:13:28.819577,23:13:59.377090,1,-1.0
1,23:13:28.819577,23:13:59.577902,1,-1.0
1,23:13:28.819577,23:13:59.793109,1,-1.0
1,23:13:28.819577,23:13:59.994925,1,-1.0
1,23:13:28.819577,23:14:00.241137,1,-1.0
1,23:13:28.819577,23:14:00.426714,1,-1.0
1,23:13:28.819577,23:14:00.636732,1,-1.0
1,23:13:28.819577,23:14:00.830771,1,-1.0
1,23:13:28.819577,23:14:01.035846,1,-1.0
1,23:13:28.819577,23:14:01.240620,1,-1.0
1,23:13:28.819577,23:14:01.465148,1,-1.0
1,23:13:28.819577,23:14:01.677614,1,-1.0
1,23:13:28.819577,23:14:01.901933,1,-1.0
1,23:13:28.819577,23:14:02.169761,1,-1.0
1,23:13:28.819577,23:14:02.363790,1,-1.0
1,23:13:28.819577,23:14:02.568980,1,-1.0
1,23:13:28.819577,23:14:02.785154,1,-1.0
1,23:13:28.819577,23:14:03.019412,1,-1.0
1,23:13:28.819577,23:14:03.231978,1,-1.0
1,23:13:28.819577,23:14:03.467083,1,-1.0
1,23:13:28.819577,23:14:03.701979,1,-1.0
1,23:13:28.819577,23:14:03.937665,1,-1.0
1,23:13:28.819577,23:14:04.162171,1,-1.0
1,23:13:28.819577,23:14:04.418416,1,-1.0
1,23:13:28.819577,23:14:04.632507,1,-1.0
1,23:13:28.819577,23:14:04.865887,1,-1.0
1,23:13:28.819577,23:14:05.100037,1,-1.0
1,23:13:28.819577,23:14:05.305446,1,-1.0
1,23:13:28.819577,23:14:05.537162,1,-1.0
1,23:13:28.819577,23:14:05.763337,1,-1.0
1,23:13:28.819577,23:14:05.987895,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
