Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:10:06.498084,12:11:10.430571,1,-1.0
1,12:10:06.498084,12:11:10.721486,1,-1.0
1,12:10:06.498084,12:11:11.012369,1,-1.0
1,12:10:06.498084,12:11:11.254880,1,-1.0
1,12:10:06.498084,12:11:11.449551,1,-1.0
1,12:10:06.498084,12:11:11.644317,1,-1.0
1,12:10:06.498084,12:11:11.800093,1,-1.0
1,12:10:06.498084,12:11:11.964948,1,-1.0
1,12:10:06.498084,12:11:12.096367,1,-1.0
1,12:10:06.498084,12:11:12.280894,1,-1.0
1,12:10:06.498084,12:11:12.425598,1,-1.0
1,12:10:06.498084,12:11:12.582087,1,-1.0
1,12:10:06.498084,12:11:12.728009,1,-1.0
1,12:10:06.498084,12:11:12.867460,1,-1.0
1,12:10:06.498084,12:11:12.998078,1,-1.0
1,12:10:06.498084,12:11:13.121300,1,-1.0
1,12:10:06.498084,12:11:13.284636,1,-1.0
1,12:10:06.498084,12:11:13.619975,1,-1.0
1,12:10:06.498084,12:11:13.764486,1,-1.0
1,12:10:06.498084,12:11:14.346922,1,-1.0
1,12:10:06.498084,12:11:15.684567,1,-1.0
1,12:10:06.498084,12:11:15.831529,1,-1.0
1,12:10:06.498084,12:11:15.953886,1,-1.0
1,12:10:06.498084,12:11:16.062680,1,-1.0
1,12:10:06.498084,12:11:16.173030,1,-1.0
1,12:10:06.498084,12:11:16.296204,1,-1.0
1,12:10:06.498084,12:11:16.421810,1,-1.0
1,12:10:06.498084,12:11:16.544973,1,-1.0
1,12:10:06.498084,12:11:16.667977,1,-1.0
1,12:10:06.498084,12:11:16.779915,1,-1.0
1,12:10:06.498084,12:11:17.811787,1,-1.0
1,12:10:06.498084,12:11:17.945147,1,-1.0
1,12:10:06.498084,12:11:18.081637,1,-1.0
1,12:10:06.498084,12:11:18.171194,1,-1.0
1,12:10:06.498084,12:11:18.355369,1,-1.0
1,12:10:06.498084,12:11:18.493219,1,-1.0
1,12:10:06.498084,12:11:18.616872,1,-1.0
