Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:59:07.613350,11:59:07.629208,1,-1.0
1,11:59:07.613350,11:59:07.842538,1,-1.0
1,11:59:07.613350,11:59:07.986131,1,-1.0
1,11:59:07.613350,11:59:08.144051,1,-1.0
1,11:59:07.613350,11:59:08.308018,1,-1.0
1,11:59:07.613350,11:59:08.466677,1,-1.0
1,11:59:07.613350,11:59:08.621299,1,-1.0
1,11:59:07.613350,11:59:08.775408,1,-1.0
1,11:59:07.613350,11:59:08.931256,1,-1.0
1,11:59:07.613350,11:59:09.160491,-1,-1.0
1,11:59:07.613350,11:59:09.423209,-1,-1.0
1,11:59:07.613350,11:59:09.643730,-1,-1.0
1,11:59:07.613350,11:59:09.798040,-1,-1.0
1,11:59:07.613350,11:59:10.046652,-1,-1.0
1,11:59:07.613350,11:59:10.241767,-1,-1.0
1,11:59:07.613350,11:59:10.439839,-1,-1.0
1,11:59:07.613350,11:59:10.563962,1,-1.0
1,11:59:07.613350,11:59:10.720402,1,-1.0
1,11:59:07.613350,11:59:10.874751,1,-1.0
1,11:59:07.613350,11:59:10.975464,-1,-1.0
1,11:59:07.613350,11:59:11.171916,-1,-1.0
1,11:59:07.613350,11:59:11.316222,1,-1.0
1,11:59:07.613350,11:59:11.441673,-1,-1.0
1,11:59:07.613350,11:59:11.574038,-1,-1.0
1,11:59:07.613350,11:59:11.738174,-1,-1.0
1,11:59:07.613350,11:59:11.894351,-1,-1.0
1,11:59:07.613350,11:59:11.965137,1,-1.0
1,11:59:07.613350,11:59:12.088455,-1,-1.0
1,11:59:07.613350,11:59:12.267285,1,-1.0
1,11:59:07.613350,11:59:12.446126,1,-1.0
1,11:59:07.613350,11:59:12.461665,-1,-1.0
1,11:59:07.613350,11:59:12.580004,1,-1.0
1,11:59:07.613350,11:59:12.732380,1,-1.0
1,11:59:07.613350,11:59:12.884576,1,-1.0
1,11:59:07.613350,11:59:13.076855,-1,-1.0
1,11:59:07.613350,11:59:13.094507,-1,-1.0
1,11:59:07.613350,11:59:13.247962,1,-1.0
1,11:59:07.613350,11:59:13.416029,1,-1.0
1,11:59:07.613350,11:59:13.572027,1,-1.0
1,11:59:07.613350,11:59:13.771946,-1,-1.0
1,11:59:07.613350,11:59:13.896770,1,-1.0
1,11:59:07.613350,11:59:14.069380,1,-1.0
1,11:59:07.613350,11:59:14.245897,1,-1.0
1,11:59:07.613350,11:59:14.425447,1,-1.0
1,11:59:07.613350,11:59:14.611539,1,-1.0
1,11:59:07.613350,11:59:14.694534,-1,-1.0
1,11:59:07.613350,11:59:14.806561,1,-1.0
1,11:59:07.613350,11:59:14.991671,1,-1.0
1,11:59:07.613350,11:59:15.168636,-1,-1.0
1,11:59:07.613350,11:59:15.346804,1,-1.0
1,11:59:07.613350,11:59:15.545107,1,-1.0
1,11:59:07.613350,11:59:15.734394,1,-1.0
1,11:59:07.613350,11:59:15.901197,1,-1.0
1,11:59:07.613350,11:59:16.069490,1,-1.0
1,11:59:07.613350,11:59:16.402513,1,-1.0
1,11:59:07.613350,11:59:16.473276,-1,-1.0
1,11:59:07.613350,11:59:16.927433,-1,-1.0
1,11:59:07.613350,11:59:17.084083,-1,-1.0
1,11:59:07.613350,11:59:17.230759,-1,-1.0
1,11:59:07.613350,11:59:17.368301,-1,-1.0
1,11:59:07.613350,11:59:17.683774,1,-1.0
1,11:59:07.613350,11:59:17.829732,1,-1.0
1,11:59:07.613350,11:59:17.974596,1,-1.0
1,11:59:07.613350,11:59:18.138625,-1,-1.0
1,11:59:07.613350,11:59:18.312425,1,-1.0
1,11:59:07.613350,11:59:18.489726,-1,-1.0
1,11:59:07.613350,11:59:18.647517,1,-1.0
1,11:59:07.613350,11:59:18.771684,1,-1.0
1,11:59:07.613350,11:59:18.808853,-1,-1.0
1,11:59:07.613350,11:59:18.952128,1,-1.0
1,11:59:07.613350,11:59:19.073419,-1,-1.0
1,11:59:07.613350,11:59:19.214649,1,-1.0
1,11:59:07.613350,11:59:19.554367,-1,-1.0
1,11:59:07.613350,11:59:19.692773,1,-1.0
1,11:59:07.613350,11:59:19.857100,-1,-1.0
1,11:59:07.613350,11:59:20.430630,1,-1.0
1,11:59:07.613350,11:59:20.648868,1,-1.0
1,11:59:07.613350,11:59:20.814320,1,-1.0
1,11:59:07.613350,11:59:20.984475,1,-1.0
1,11:59:07.613350,11:59:21.117131,1,-1.0
1,11:59:07.613350,11:59:21.313913,-1,-1.0
1,11:59:07.613350,11:59:21.567079,-1,-1.0
1,11:59:07.613350,11:59:21.651077,1,-1.0
1,11:59:07.613350,11:59:21.842451,-1,-1.0
1,11:59:07.613350,11:59:21.987233,1,-1.0
1,11:59:07.613350,11:59:22.193375,-1,-1.0
1,11:59:07.613350,11:59:22.400146,1,-1.0
1,11:59:07.613350,11:59:22.574414,1,-1.0
1,11:59:07.613350,11:59:22.730262,1,-1.0
1,11:59:07.613350,11:59:22.877617,1,-1.0
1,11:59:07.613350,11:59:23.029233,1,-1.0
1,11:59:07.613350,11:59:23.197107,1,-1.0
1,11:59:07.613350,11:59:23.355444,1,-1.0
1,11:59:07.613350,11:59:23.532161,1,-1.0
1,11:59:07.613350,11:59:23.677329,1,-1.0
1,11:59:07.613350,11:59:23.834532,1,-1.0
1,11:59:07.613350,11:59:24.010997,1,-1.0
1,11:59:07.613350,11:59:24.168399,1,-1.0
1,11:59:07.613350,11:59:24.472064,-1,-1.0
1,11:59:07.613350,11:59:24.647055,-1,-1.0
1,11:59:07.613350,11:59:24.800432,-1,-1.0
1,11:59:07.613350,11:59:24.933446,-1,-1.0
1,11:59:07.613350,11:59:25.203146,1,-1.0
1,11:59:07.613350,11:59:25.435516,1,-1.0
1,11:59:07.613350,11:59:25.538636,-1,-1.0
1,11:59:07.613350,11:59:25.737076,1,-1.0
1,11:59:07.613350,11:59:25.880019,-1,-1.0
1,11:59:07.613350,11:59:26.101911,1,-1.0
1,11:59:07.613350,11:59:26.244870,-1,-1.0
1,11:59:07.613350,11:59:26.345236,1,-1.0
1,11:59:07.613350,11:59:26.544257,1,-1.0
1,11:59:07.613350,11:59:26.726348,1,-1.0
1,11:59:07.613350,11:59:26.743951,-1,-1.0
1,11:59:07.613350,11:59:26.869352,1,-1.0
1,11:59:07.613350,11:59:27.175031,-1,-1.0
1,11:59:07.613350,11:59:27.416460,1,-1.0
1,11:59:07.613350,11:59:27.572523,-1,-1.0
1,11:59:07.613350,11:59:27.728479,1,-1.0
1,11:59:07.613350,11:59:27.906805,-1,-1.0
1,11:59:07.613350,11:59:28.083680,1,-1.0
1,11:59:07.613350,11:59:28.829071,1,-1.0
1,11:59:07.613350,11:59:29.186530,1,-1.0
1,11:59:07.613350,11:59:29.393794,1,-1.0
1,11:59:07.613350,11:59:29.569916,1,-1.0
1,11:59:07.613350,11:59:29.759688,1,-1.0
1,11:59:07.613350,11:59:29.777561,-1,-1.0
1,11:59:07.613350,11:59:29.923287,-1,-1.0
1,11:59:07.613350,11:59:29.985562,1,-1.0
