Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:19:11.012270,12:19:12.365385,1,-1.0
1,12:19:11.012270,12:19:12.553187,1,-1.0
1,12:19:11.012270,12:19:12.761080,1,-1.0
1,12:19:11.012270,12:19:12.946914,1,-1.0
1,12:19:11.012270,12:19:13.125270,1,-1.0
1,12:19:11.012270,12:19:13.476376,-1,-1.0
1,12:19:11.012270,12:19:13.629343,-1,-1.0
1,12:19:11.012270,12:19:13.804622,-1,-1.0
1,12:19:11.012270,12:19:13.967738,-1,-1.0
1,12:19:11.012270,12:19:14.124294,-1,-1.0
1,12:19:11.012270,12:19:14.272255,1,-1.0
1,12:19:11.012270,12:19:15.190290,-1,-1.0
1,12:19:11.012270,12:19:17.151715,-1,-1.0
1,12:19:11.012270,12:19:17.364682,1,-1.0
1,12:19:11.012270,12:19:17.539181,1,-1.0
1,12:19:11.012270,12:19:17.704099,1,-1.0
1,12:19:11.012270,12:19:17.878661,1,-1.0
1,12:19:11.012270,12:19:19.372562,-1,-1.0
1,12:19:11.012270,12:19:19.535204,-1,-1.0
1,12:19:11.012270,12:19:19.692226,1,-1.0
1,12:19:11.012270,12:19:19.846631,1,-1.0
1,12:19:11.012270,12:19:19.990021,1,-1.0
1,12:19:11.012270,12:19:20.136499,-1,-1.0
1,12:19:11.012270,12:19:20.499361,1,-1.0
1,12:19:11.012270,12:19:20.662244,1,-1.0
1,12:19:11.012270,12:19:20.818818,1,-1.0
1,12:19:11.012270,12:19:20.963021,1,-1.0
1,12:19:11.012270,12:19:21.115322,1,-1.0
1,12:19:11.012270,12:19:21.957839,-1,-1.0
1,12:19:11.012270,12:19:22.111319,1,-1.0
1,12:19:11.012270,12:19:22.274192,1,-1.0
1,12:19:11.012270,12:19:22.428614,-1,-1.0
1,12:19:11.012270,12:19:22.591374,-1,-1.0
1,12:19:11.012270,12:19:22.747416,1,-1.0
1,12:19:11.012270,12:19:23.153785,-1,-1.0
1,12:19:11.012270,12:19:23.309133,-1,-1.0
1,12:19:11.012270,12:19:23.474209,1,-1.0
1,12:19:11.012270,12:19:23.641103,-1,-1.0
1,12:19:11.012270,12:19:23.814145,-1,-1.0
1,12:19:11.012270,12:19:23.977509,-1,-1.0
1,12:19:11.012270,12:19:24.551855,-1,-1.0
1,12:19:11.012270,12:19:24.733409,-1,-1.0
1,12:19:11.012270,12:19:24.898006,-1,-1.0
1,12:19:11.012270,12:19:25.064069,-1,-1.0
1,12:19:11.012270,12:19:25.220267,-1,-1.0
1,12:19:11.012270,12:19:25.363798,-1,-1.0
1,12:19:11.012270,12:19:25.495194,-1,-1.0
1,12:19:11.012270,12:19:25.805354,-1,-1.0
1,12:19:11.012270,12:19:25.962142,-1,-1.0
1,12:19:11.012270,12:19:26.123507,-1,-1.0
1,12:19:11.012270,12:19:26.287776,-1,-1.0
1,12:19:11.012270,12:19:28.853730,-1,-1.0
1,12:19:11.012270,12:19:29.019882,-1,-1.0
1,12:19:11.012270,12:19:29.182452,1,-1.0
1,12:19:11.012270,12:19:29.345274,1,-1.0
1,12:19:11.012270,12:19:29.492839,1,-1.0
1,12:19:11.012270,12:19:29.669950,1,-1.0
1,12:19:11.012270,12:19:30.010098,-1,-1.0
1,12:19:11.012270,12:19:30.162449,-1,-1.0
1,12:19:11.012270,12:19:30.317806,-1,-1.0
1,12:19:11.012270,12:19:30.462200,1,-1.0
1,12:19:11.012270,12:19:30.654784,1,-1.0
1,12:19:11.012270,12:19:30.763830,1,-1.0
1,12:19:11.012270,12:19:31.413220,1,-1.0
1,12:19:11.012270,12:19:31.576587,1,-1.0
1,12:19:11.012270,12:19:31.740494,1,-1.0
1,12:19:11.012270,12:19:31.882483,1,-1.0
1,12:19:11.012270,12:19:32.025258,1,-1.0
1,12:19:11.012270,12:19:32.251538,1,-1.0
1,12:19:11.012270,12:19:32.706772,-1,-1.0
1,12:19:11.012270,12:19:32.873971,-1,-1.0
1,12:19:11.012270,12:19:33.009579,1,-1.0
1,12:19:11.012270,12:19:33.153883,-1,-1.0
1,12:19:11.012270,12:19:33.277706,-1,-1.0
1,12:19:11.012270,12:19:33.421146,-1,-1.0
1,12:19:11.012270,12:19:33.532153,-1,-1.0
1,12:19:11.012270,12:19:33.963358,1,-1.0
1,12:19:11.012270,12:19:34.127790,1,-1.0
1,12:19:11.012270,12:19:34.282031,-1,-1.0
1,12:19:11.012270,12:19:34.429640,-1,-1.0
1,12:19:11.012270,12:19:34.543630,1,-1.0
1,12:19:11.012270,12:19:34.965218,-1,-1.0
1,12:19:11.012270,12:19:35.141092,1,-1.0
1,12:19:11.012270,12:19:35.344554,1,-1.0
1,12:19:11.012270,12:19:35.508146,-1,-1.0
1,12:19:11.012270,12:19:35.659433,-1,-1.0
1,12:19:11.012270,12:19:35.805012,1,-1.0
1,12:19:11.012270,12:19:36.031549,1,-1.0
1,12:19:11.012270,12:19:36.406509,-1,-1.0
1,12:19:11.012270,12:19:36.570734,-1,-1.0
1,12:19:11.012270,12:19:36.753574,1,-1.0
1,12:19:11.012270,12:19:36.906366,1,-1.0
1,12:19:11.012270,12:19:37.102001,1,-1.0
1,12:19:11.012270,12:19:37.245607,-1,-1.0
1,12:19:11.012270,12:19:37.397825,1,-1.0
1,12:19:11.012270,12:19:37.737576,-1,-1.0
1,12:19:11.012270,12:19:37.902078,-1,-1.0
1,12:19:11.012270,12:19:38.043865,1,-1.0
1,12:19:11.012270,12:19:38.163895,1,-1.0
1,12:19:11.012270,12:19:38.266981,1,-1.0
1,12:19:11.012270,12:19:38.358004,-1,-1.0
1,12:19:11.012270,12:19:38.469745,1,-1.0
1,12:19:11.012270,12:19:38.694284,-1,-1.0
1,12:19:11.012270,12:19:38.849327,1,-1.0
1,12:19:11.012270,12:19:38.990161,1,-1.0
1,12:19:11.012270,12:19:39.144759,1,-1.0
1,12:19:11.012270,12:19:39.318782,-1,-1.0
1,12:19:11.012270,12:19:39.482051,-1,-1.0
1,12:19:11.012270,12:19:39.710573,1,-1.0
1,12:19:11.012270,12:19:39.852972,1,-1.0
1,12:19:11.012270,12:19:39.993310,1,-1.0
1,12:19:11.012270,12:19:40.116370,1,-1.0
1,12:19:11.012270,12:19:40.253633,1,-1.0
1,12:19:11.012270,12:19:41.388047,-1,-1.0
