Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:59:05.496960,23:59:12.303336,1,-1.0
1,23:59:05.496960,23:59:12.500251,1,-1.0
1,23:59:05.496960,23:59:12.710412,1,-1.0
1,23:59:05.496960,23:59:13.290003,1,-1.0
1,23:59:05.496960,23:59:13.497569,1,-1.0
1,23:59:05.496960,23:59:13.728143,1,-1.0
1,23:59:05.496960,23:59:13.933193,1,-1.0
1,23:59:05.496960,23:59:14.503031,1,-1.0
1,23:59:05.496960,23:59:14.701399,1,-1.0
1,23:59:05.496960,23:59:14.907540,1,-1.0
1,23:59:05.496960,23:59:15.122662,1,-1.0
1,23:59:05.496960,23:59:15.374494,1,-1.0
1,23:59:05.496960,23:59:15.562252,1,-1.0
1,23:59:05.496960,23:59:15.792771,1,-1.0
1,23:59:05.496960,23:59:16.054760,1,-1.0
1,23:59:05.496960,23:59:16.272487,1,-1.0
1,23:59:05.496960,23:59:16.447719,1,-1.0
1,23:59:05.496960,23:59:16.646700,1,-1.0
1,23:59:05.496960,23:59:16.839199,1,-1.0
1,23:59:05.496960,23:59:17.222460,1,-1.0
1,23:59:05.496960,23:59:17.408565,1,-1.0
1,23:59:05.496960,23:59:17.605246,1,-1.0
1,23:59:05.496960,23:59:17.814313,1,-1.0
1,23:59:05.496960,23:59:18.016172,1,-1.0
1,23:59:05.496960,23:59:18.217680,1,-1.0
1,23:59:05.496960,23:59:18.454503,1,-1.0
1,23:59:05.496960,23:59:18.640403,1,-1.0
1,23:59:05.496960,23:59:18.837461,1,-1.0
1,23:59:05.496960,23:59:19.055240,1,-1.0
1,23:59:05.496960,23:59:19.251732,1,-1.0
1,23:59:05.496960,23:59:23.938704,1,-1.0
1,23:59:05.496960,23:59:24.104106,1,-1.0
1,23:59:05.496960,23:59:24.291792,1,-1.0
1,23:59:05.496960,23:59:24.469115,1,-1.0
1,23:59:05.496960,23:59:24.665856,1,-1.0
1,23:59:05.496960,23:59:24.905400,1,-1.0
1,23:59:05.496960,23:59:25.125399,1,-1.0
1,23:59:05.496960,23:59:25.321550,1,-1.0
1,23:59:05.496960,23:59:25.507481,1,-1.0
1,23:59:05.496960,23:59:25.712685,1,-1.0
1,23:59:05.496960,23:59:25.952388,1,-1.0
1,23:59:05.496960,23:59:26.146363,1,-1.0
1,23:59:05.496960,23:59:26.374986,1,-1.0
1,23:59:05.496960,23:59:26.572887,1,-1.0
1,23:59:05.496960,23:59:26.776245,1,-1.0
1,23:59:05.496960,23:59:26.971973,1,-1.0
1,23:59:05.496960,23:59:27.180717,1,-1.0
1,23:59:05.496960,23:59:27.385372,1,-1.0
1,23:59:05.496960,23:59:27.582068,1,-1.0
1,23:59:05.496960,23:59:27.781577,1,-1.0
1,23:59:05.496960,23:59:28.008583,1,-1.0
1,23:59:05.496960,23:59:28.216846,1,-1.0
1,23:59:05.496960,23:59:28.406707,1,-1.0
1,23:59:05.496960,23:59:28.621644,1,-1.0
1,23:59:05.496960,23:59:28.839443,1,-1.0
1,23:59:05.496960,23:59:29.035442,1,-1.0
1,23:59:05.496960,23:59:29.338025,1,-1.0
1,23:59:05.496960,23:59:29.565280,1,-1.0
1,23:59:05.496960,23:59:29.770132,1,-1.0
1,23:59:05.496960,23:59:29.989364,1,-1.0
1,23:59:05.496960,23:59:30.206384,1,-1.0
1,23:59:05.496960,23:59:30.490725,1,-1.0
1,23:59:05.496960,23:59:30.815338,1,-1.0
1,23:59:05.496960,23:59:30.991549,1,-1.0
1,23:59:05.496960,23:59:31.189471,1,-1.0
1,23:59:05.496960,23:59:31.398198,1,-1.0
1,23:59:05.496960,23:59:31.635454,1,-1.0
1,23:59:05.496960,23:59:32.094295,1,-1.0
1,23:59:05.496960,23:59:32.325464,1,-1.0
1,23:59:05.496960,23:59:32.524625,1,-1.0
1,23:59:05.496960,23:59:32.734519,1,-1.0
1,23:59:05.496960,23:59:32.973976,1,-1.0
1,23:59:05.496960,23:59:33.189819,1,-1.0
1,23:59:05.496960,23:59:33.390549,1,-1.0
1,23:59:05.496960,23:59:34.785678,1,-1.0
1,23:59:05.496960,23:59:34.976160,1,-1.0
1,23:59:05.496960,23:59:35.163863,1,-1.0
1,23:59:05.496960,23:59:35.338578,1,-1.0
1,23:59:05.496960,23:59:35.601427,1,-1.0
1,23:59:05.496960,23:59:35.787015,1,-1.0
1,23:59:05.496960,23:59:35.953303,1,-1.0
1,23:59:05.496960,23:59:36.119650,1,-1.0
1,23:59:05.496960,23:59:36.282927,1,-1.0
1,23:59:05.496960,23:59:36.459569,1,-1.0
