Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:44:56.410086,15:44:58.184986,1,-1.0
1,15:44:56.410086,15:44:58.346026,1,-1.0
1,15:44:56.410086,15:44:58.559794,1,-1.0
1,15:44:56.410086,15:44:58.721882,1,-1.0
1,15:44:56.410086,15:44:58.883432,1,-1.0
1,15:44:56.410086,15:44:59.244378,-1,-1.0
1,15:44:56.410086,15:44:59.458710,-1,-1.0
1,15:44:56.410086,15:44:59.633642,-1,-1.0
1,15:44:56.410086,15:44:59.859645,-1,-1.0
1,15:44:56.410086,15:45:04.264811,-1,-1.0
1,15:44:56.410086,15:45:04.459248,1,-1.0
1,15:44:56.410086,15:45:04.633899,1,-1.0
1,15:44:56.410086,15:45:04.828285,-1,-1.0
1,15:44:56.410086,15:45:05.032663,-1,-1.0
1,15:44:56.410086,15:45:05.236746,-1,-1.0
1,15:44:56.410086,15:45:05.451366,-1,-1.0
1,15:44:56.410086,15:45:05.656316,1,-1.0
1,15:44:56.410086,15:45:05.862110,1,-1.0
1,15:44:56.410086,15:45:06.191461,-1,-1.0
1,15:44:56.410086,15:45:06.397031,-1,-1.0
1,15:44:56.410086,15:45:06.583346,-1,-1.0
1,15:44:56.410086,15:45:06.787983,1,-1.0
1,15:44:56.410086,15:45:06.977970,1,-1.0
1,15:44:56.410086,15:45:07.149444,1,-1.0
1,15:44:56.410086,15:45:07.292839,1,-1.0
1,15:44:56.410086,15:45:07.490410,1,-1.0
1,15:44:56.410086,15:45:07.704745,-1,-1.0
1,15:44:56.410086,15:45:07.911688,-1,-1.0
1,15:44:56.410086,15:45:08.116083,-1,-1.0
1,15:44:56.410086,15:45:08.321233,1,-1.0
1,15:44:56.410086,15:45:08.515769,1,-1.0
1,15:44:56.410086,15:45:08.732122,-1,-1.0
1,15:44:56.410086,15:45:08.946258,1,-1.0
1,15:44:56.410086,15:45:09.223399,-1,-1.0
1,15:44:56.410086,15:45:09.416060,1,-1.0
1,15:44:56.410086,15:45:09.555624,1,-1.0
1,15:44:56.410086,15:45:09.750100,1,-1.0
1,15:44:56.410086,15:45:09.912668,-1,-1.0
1,15:44:56.410086,15:45:10.076997,-1,-1.0
1,15:44:56.410086,15:45:10.218865,1,-1.0
1,15:44:56.410086,15:45:10.402561,-1,-1.0
1,15:44:56.410086,15:45:10.598329,-1,-1.0
1,15:44:56.410086,15:45:10.810804,-1,-1.0
1,15:44:56.410086,15:45:11.015712,-1,-1.0
1,15:44:56.410086,15:45:11.200281,-1,-1.0
1,15:44:56.410086,15:45:11.749380,-1,-1.0
1,15:44:56.410086,15:45:11.921874,-1,-1.0
1,15:44:56.410086,15:45:12.099264,-1,-1.0
1,15:44:56.410086,15:45:12.272632,1,-1.0
1,15:44:56.410086,15:45:12.444140,1,-1.0
1,15:44:56.410086,15:45:13.698048,-1,-1.0
