Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:58:31.755338,15:58:32.389346,1,-1.0
1,15:58:31.755338,15:58:32.581074,1,-1.0
1,15:58:31.755338,15:58:32.788557,1,-1.0
1,15:58:31.755338,15:58:32.993554,1,-1.0
1,15:58:31.755338,15:58:33.198397,1,-1.0
1,15:58:31.755338,15:58:33.424040,1,-1.0
1,15:58:31.755338,15:58:34.472662,-1,-1.0
1,15:58:31.755338,15:58:34.655610,-1,-1.0
1,15:58:31.755338,15:58:34.870931,-1,-1.0
1,15:58:31.755338,15:58:35.115614,-1,-1.0
1,15:58:31.755338,15:58:35.344618,-1,-1.0
1,15:58:31.755338,15:58:35.590723,-1,-1.0
1,15:58:31.755338,15:58:35.849609,-1,-1.0
1,15:58:31.755338,15:58:36.709989,1,-1.0
1,15:58:31.755338,15:58:36.904468,1,-1.0
1,15:58:31.755338,15:58:37.096329,1,-1.0
1,15:58:31.755338,15:58:37.293851,1,-1.0
1,15:58:31.755338,15:58:37.699141,-1,-1.0
1,15:58:31.755338,15:58:37.873703,-1,-1.0
1,15:58:31.755338,15:58:38.057480,-1,-1.0
1,15:58:31.755338,15:58:38.253170,-1,-1.0
1,15:58:31.755338,15:58:38.488582,-1,-1.0
1,15:58:31.755338,15:58:38.663825,-1,-1.0
1,15:58:31.755338,15:58:38.888636,-1,-1.0
1,15:58:31.755338,15:58:39.868555,1,-1.0
1,15:58:31.755338,15:58:40.603366,-1,-1.0
1,15:58:31.755338,15:58:40.808352,1,-1.0
1,15:58:31.755338,15:58:41.022110,1,-1.0
1,15:58:31.755338,15:58:41.217136,1,-1.0
1,15:58:31.755338,15:58:41.423679,1,-1.0
1,15:58:31.755338,15:58:42.545543,-1,-1.0
1,15:58:31.755338,15:58:42.748523,-1,-1.0
1,15:58:31.755338,15:58:42.945614,1,-1.0
1,15:58:31.755338,15:58:43.193774,1,-1.0
1,15:58:31.755338,15:58:43.408456,1,-1.0
1,15:58:31.755338,15:58:43.663980,1,-1.0
1,15:58:31.755338,15:58:43.889637,1,-1.0
1,15:58:31.755338,15:58:44.116394,1,-1.0
1,15:58:31.755338,15:58:45.108319,-1,-1.0
1,15:58:31.755338,15:58:45.313055,-1,-1.0
1,15:58:31.755338,15:58:45.496264,1,-1.0
1,15:58:31.755338,15:58:45.731589,1,-1.0
1,15:58:31.755338,15:58:45.957366,1,-1.0
1,15:58:31.755338,15:58:46.212383,-1,-1.0
1,15:58:31.755338,15:58:46.425736,1,-1.0
1,15:58:31.755338,15:58:46.664238,1,-1.0
1,15:58:31.755338,15:58:48.370261,-1,-1.0
1,15:58:31.755338,15:58:48.555740,1,-1.0
1,15:58:31.755338,15:58:48.751036,-1,-1.0
1,15:58:31.755338,15:58:48.955684,-1,-1.0
1,15:58:31.755338,15:58:49.150516,-1,-1.0
1,15:58:31.755338,15:58:49.985583,1,-1.0
1,15:58:31.755338,15:58:50.190899,1,-1.0
1,15:58:31.755338,15:58:50.407390,1,-1.0
1,15:58:31.755338,15:58:50.640126,1,-1.0
1,15:58:31.755338,15:58:50.877304,1,-1.0
1,15:58:31.755338,15:58:54.953892,1,-1.0
1,15:58:31.755338,15:58:55.171178,1,-1.0
1,15:58:31.755338,15:58:55.355657,1,-1.0
1,15:58:31.755338,15:58:55.538501,1,-1.0
1,15:58:31.755338,15:58:55.745700,1,-1.0
1,15:58:31.755338,15:58:57.395589,-1,-1.0
1,15:58:31.755338,15:58:57.580158,-1,-1.0
1,15:58:31.755338,15:58:57.755485,-1,-1.0
1,15:58:31.755338,15:58:57.959113,-1,-1.0
1,15:58:31.755338,15:58:58.175429,-1,-1.0
1,15:58:31.755338,15:58:58.686069,-1,-1.0
1,15:58:31.755338,15:58:58.860685,-1,-1.0
1,15:58:31.755338,15:58:59.027372,-1,-1.0
1,15:58:31.755338,15:58:59.232742,-1,-1.0
1,15:58:31.755338,15:58:59.437421,-1,-1.0
1,15:58:31.755338,15:58:59.619011,-1,-1.0
1,15:58:31.755338,15:59:00.215760,-1,-1.0
1,15:58:31.755338,15:59:00.422784,-1,-1.0
1,15:58:31.755338,15:59:00.573099,1,-1.0
1,15:58:31.755338,15:59:00.757190,1,-1.0
1,15:58:31.755338,15:59:00.942044,1,-1.0
1,15:58:31.755338,15:59:01.136060,1,-1.0
1,15:58:31.755338,15:59:01.333805,1,-1.0
1,15:58:31.755338,15:59:01.525838,1,-1.0
1,15:58:31.755338,15:59:01.791129,-1,-1.0
1,15:58:31.755338,15:59:01.952142,-1,-1.0
1,15:58:31.755338,15:59:02.147331,-1,-1.0
1,15:58:31.755338,15:59:02.340935,-1,-1.0
1,15:58:31.755338,15:59:02.561254,-1,-1.0
1,15:58:31.755338,15:59:02.765623,-1,-1.0
1,15:58:31.755338,15:59:02.992214,-1,-1.0
1,15:58:31.755338,15:59:03.198437,-1,-1.0
1,15:58:31.755338,15:59:04.193449,1,-1.0
1,15:58:31.755338,15:59:04.389192,-1,-1.0
1,15:58:31.755338,15:59:04.594648,-1,-1.0
1,15:58:31.755338,15:59:04.777794,-1,-1.0
1,15:58:31.755338,15:59:05.038465,1,-1.0
1,15:58:31.755338,15:59:05.264830,1,-1.0
1,15:58:31.755338,15:59:06.133527,1,-1.0
1,15:58:31.755338,15:59:06.334992,1,-1.0
1,15:58:31.755338,15:59:06.538492,1,-1.0
1,15:58:31.755338,15:59:06.814809,1,-1.0
