Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:49:06.702554,00:49:07.366598,10,1.0
1,00:49:06.702554,00:49:07.529425,10,1.0
1,00:49:06.702554,00:49:07.877442,10,1.0
1,00:49:06.702554,00:49:08.334193,10,1.0
1,00:49:06.702554,00:49:08.872355,10,1.0
1,00:49:06.702554,00:49:09.261184,-10,1.0
1,00:49:06.702554,00:49:09.434009,-10,1.0
1,00:49:06.702554,00:49:09.605383,-10,1.0
1,00:49:06.702554,00:49:09.788153,10,1.0
1,00:49:06.702554,00:49:09.939103,10,1.0
1,00:49:06.702554,00:49:10.128268,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:49:10.132264,00:49:10.291381,-10,1.0
2,00:49:10.132264,00:49:10.775608,-10,1.0
2,00:49:10.132264,00:49:10.916528,10,1.0
2,00:49:10.132264,00:49:11.067529,10,1.0
2,00:49:10.132264,00:49:11.208089,10,1.0
2,00:49:10.132264,00:49:11.306121,10,1.0
2,00:49:10.132264,00:49:11.394499,10,1.0
2,00:49:10.132264,00:49:11.535155,10,1.0
2,00:49:10.132264,00:49:11.809937,-10,1.0
2,00:49:10.132264,00:49:11.960267,-10,1.0
2,00:49:10.132264,00:49:12.099795,10,1.0
2,00:49:10.132264,00:49:12.252599,10,1.0
2,00:49:10.132264,00:49:12.412712,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:49:12.418298,00:49:12.577363,10,1.0
3,00:49:12.418298,00:49:13.189323,10,1.0
3,00:49:12.418298,00:49:13.359525,10,1.0
3,00:49:12.418298,00:49:13.511702,10,1.0
3,00:49:12.418298,00:49:14.051979,10,1.0
3,00:49:12.418298,00:49:14.463498,-10,1.0
3,00:49:12.418298,00:49:14.604597,10,1.0
3,00:49:12.418298,00:49:14.755477,10,1.0
3,00:49:12.418298,00:49:14.873893,10,1.0
3,00:49:12.418298,00:49:14.994818,10,1.0
3,00:49:12.418298,00:49:15.123672,10,1.0
3,00:49:12.418298,00:49:15.243273,10,1.0
3,00:49:12.418298,00:49:15.384350,10,1.0
