Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:31:44.904984,12:31:45.391554,1,1.0
1,12:31:44.904984,12:31:45.562710,1,1.0
1,12:31:44.904984,12:31:45.722642,1,1.0
1,12:31:44.904984,12:31:45.887438,1,1.0
1,12:31:44.904984,12:31:46.193440,-3,1.0
1,12:31:44.904984,12:31:46.354879,-3,1.0
1,12:31:44.904984,12:31:46.525022,1,1.0
1,12:31:44.904984,12:31:46.676237,1,1.0
1,12:31:44.904984,12:31:46.846573,1,1.0
1,12:31:44.904984,12:31:46.996991,1,1.0
1,12:31:44.904984,12:31:47.168474,1,1.0
1,12:31:44.904984,12:31:47.319747,1,1.0
1,12:31:44.904984,12:31:47.438890,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:31:47.442798,12:31:47.662702,1,1.0
2,12:31:47.442798,12:31:48.096433,1,1.0
2,12:31:47.442798,12:31:48.311282,1,1.0
2,12:31:47.442798,12:31:48.611081,-3,1.0
2,12:31:47.442798,12:31:48.908762,-3,1.0
2,12:31:47.442798,12:31:49.059511,-3,1.0
2,12:31:47.442798,12:31:49.202422,1,1.0
2,12:31:47.442798,12:31:49.359181,1,1.0
2,12:31:47.442798,12:31:49.515743,1,1.0
2,12:31:47.442798,12:31:49.672924,1,1.0
2,12:31:47.442798,12:31:49.836436,1,1.0
2,12:31:47.442798,12:31:49.997198,1,1.0
2,12:31:47.442798,12:31:50.182367,1,1.0
2,12:31:47.442798,12:31:50.341268,1,1.0
2,12:31:47.442798,12:31:50.497938,1,1.0
2,12:31:47.442798,12:31:50.651504,1,1.0
2,12:31:47.442798,12:31:50.823192,1,1.0
2,12:31:47.442798,12:31:51.922668,-3,1.0
2,12:31:47.442798,12:31:52.084848,-3,1.0
2,12:31:47.442798,12:31:52.257746,-3,1.0
2,12:31:47.442798,12:31:52.409709,-3,1.0
2,12:31:47.442798,12:31:52.550035,1,1.0
2,12:31:47.442798,12:31:52.714374,1,1.0
2,12:31:47.442798,12:31:52.843572,1,1.0
2,12:31:47.442798,12:31:53.026566,1,1.0
2,12:31:47.442798,12:31:53.188970,1,1.0
2,12:31:47.442798,12:31:53.362639,1,1.0
2,12:31:47.442798,12:31:53.514514,1,1.0
2,12:31:47.442798,12:31:53.697986,1,1.0
2,12:31:47.442798,12:31:53.881199,1,1.0
2,12:31:47.442798,12:31:54.050999,1,1.0
2,12:31:47.442798,12:31:54.257427,1,1.0
2,12:31:47.442798,12:31:55.259862,-3,1.0
2,12:31:47.442798,12:31:55.380669,-3,1.0
2,12:31:47.442798,12:31:55.584301,-3,1.0
2,12:31:47.442798,12:31:55.726921,-3,1.0
2,12:31:47.442798,12:31:55.870327,1,1.0
2,12:31:47.442798,12:31:56.011268,1,1.0
2,12:31:47.442798,12:31:56.184785,1,1.0
2,12:31:47.442798,12:31:56.304574,1,1.0
2,12:31:47.442798,12:31:56.489951,1,1.0
2,12:31:47.442798,12:31:56.590020,1,1.0
2,12:31:47.442798,12:31:56.752280,1,1.0
2,12:31:47.442798,12:31:56.902749,1,1.0
2,12:31:47.442798,12:31:57.261418,1,1.0
2,12:31:47.442798,12:31:57.411897,1,1.0
2,12:31:47.442798,12:31:59.576432,-3,1.0
2,12:31:47.442798,12:31:59.738810,-3,1.0
2,12:31:47.442798,12:31:59.878820,-3,1.0
2,12:31:47.442798,12:32:00.054310,-3,1.0
2,12:31:47.442798,12:32:00.195182,1,1.0
2,12:31:47.442798,12:32:00.348481,1,1.0
2,12:31:47.442798,12:32:00.498236,1,1.0
2,12:31:47.442798,12:32:00.662746,1,1.0
2,12:31:47.442798,12:32:00.812839,1,1.0
2,12:31:47.442798,12:32:00.974525,1,1.0
2,12:31:47.442798,12:32:01.128275,1,1.0
2,12:31:47.442798,12:32:01.279877,1,1.0
2,12:31:47.442798,12:32:01.492404,1,1.0
2,12:31:47.442798,12:32:01.696752,1,1.0
2,12:31:47.442798,12:32:02.821030,-3,1.0
2,12:31:47.442798,12:32:02.981878,-3,1.0
2,12:31:47.442798,12:32:03.122787,-3,1.0
2,12:31:47.442798,12:32:03.256798,-3,1.0
2,12:31:47.442798,12:32:03.449525,1,1.0
2,12:31:47.442798,12:32:03.592766,1,1.0
2,12:31:47.442798,12:32:03.722701,1,1.0
2,12:31:47.442798,12:32:03.854259,1,1.0
2,12:31:47.442798,12:32:04.004861,1,1.0
2,12:31:47.442798,12:32:04.145058,1,1.0
2,12:31:47.442798,12:32:04.275093,1,1.0
2,12:31:47.442798,12:32:04.405107,1,1.0
2,12:31:47.442798,12:32:06.306263,-3,1.0
2,12:31:47.442798,12:32:06.449718,-3,1.0
2,12:31:47.442798,12:32:06.602794,-3,1.0
2,12:31:47.442798,12:32:06.754655,1,1.0
2,12:31:47.442798,12:32:06.915582,1,1.0
2,12:31:47.442798,12:32:07.056823,1,1.0
2,12:31:47.442798,12:32:07.196496,1,1.0
2,12:31:47.442798,12:32:07.350216,1,1.0
2,12:31:47.442798,12:32:07.512833,1,1.0
2,12:31:47.442798,12:32:07.664881,1,1.0
2,12:31:47.442798,12:32:08.004620,-3,1.0
2,12:31:47.442798,12:32:08.156522,-3,1.0
2,12:31:47.442798,12:32:08.318297,-3,1.0
2,12:31:47.442798,12:32:08.479623,1,1.0
2,12:31:47.442798,12:32:08.620506,-3,1.0
2,12:31:47.442798,12:32:08.777142,1,1.0
2,12:31:47.442798,12:32:08.853985,1,1.0
2,12:31:47.442798,12:32:08.941411,1,1.0
2,12:31:47.442798,12:32:09.082671,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:32:09.086668,12:32:09.243444,1,1.0
3,12:32:09.086668,12:32:11.172810,1,1.0
3,12:32:09.086668,12:32:11.449045,-3,1.0
3,12:32:09.086668,12:32:11.599139,-3,1.0
3,12:32:09.086668,12:32:11.750376,-3,1.0
3,12:32:09.086668,12:32:11.912564,-3,1.0
3,12:32:09.086668,12:32:12.050442,1,1.0
3,12:32:09.086668,12:32:12.189578,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:32:12.193205,12:32:12.288636,1,1.0
4,12:32:12.193205,12:32:12.902267,1,1.0
4,12:32:12.193205,12:32:13.052486,1,1.0
4,12:32:12.193205,12:32:13.228993,-3,1.0
4,12:32:12.193205,12:32:13.379206,-3,1.0
4,12:32:12.193205,12:32:13.533992,1,1.0
4,12:32:12.193205,12:32:13.674687,1,1.0
4,12:32:12.193205,12:32:13.815450,1,1.0
4,12:32:12.193205,12:32:13.956297,1,1.0
4,12:32:12.193205,12:32:14.096956,1,1.0
4,12:32:12.193205,12:32:14.259236,1,1.0
4,12:32:12.193205,12:32:14.493408,1,1.0
4,12:32:12.193205,12:32:14.717577,-3,1.0
4,12:32:12.193205,12:32:14.867693,-3,1.0
4,12:32:12.193205,12:32:15.052084,-3,1.0
4,12:32:12.193205,12:32:15.194028,-3,1.0
4,12:32:12.193205,12:32:15.358615,1,1.0
4,12:32:12.193205,12:32:15.512056,1,1.0
4,12:32:12.193205,12:32:15.664818,1,1.0
4,12:32:12.193205,12:32:15.826406,1,1.0
4,12:32:12.193205,12:32:16.017738,1,1.0
4,12:32:12.193205,12:32:16.638371,-3,1.0
4,12:32:12.193205,12:32:16.779268,-3,1.0
4,12:32:12.193205,12:32:16.929577,-3,1.0
4,12:32:12.193205,12:32:17.069988,-3,1.0
4,12:32:12.193205,12:32:17.231294,1,1.0
4,12:32:12.193205,12:32:17.380943,1,1.0
4,12:32:12.193205,12:32:17.509715,1,1.0
4,12:32:12.193205,12:32:17.651883,1,1.0
4,12:32:12.193205,12:32:17.791381,1,1.0
4,12:32:12.193205,12:32:17.984101,1,1.0
4,12:32:12.193205,12:32:18.209232,-3,1.0
4,12:32:12.193205,12:32:18.351348,-3,1.0
4,12:32:12.193205,12:32:18.482804,-3,1.0
4,12:32:12.193205,12:32:18.580839,1,1.0
4,12:32:12.193205,12:32:18.691172,1,1.0
4,12:32:12.193205,12:32:18.923757,1,1.0
4,12:32:12.193205,12:32:19.203192,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:32:19.206046,12:32:19.389613,1,1.0
5,12:32:19.206046,12:32:20.043296,-3,1.0
5,12:32:19.206046,12:32:20.296864,-3,1.0
5,12:32:19.206046,12:32:20.540537,1,1.0
5,12:32:19.206046,12:32:20.753646,1,1.0
5,12:32:19.206046,12:32:20.915134,1,1.0
5,12:32:19.206046,12:32:21.098449,1,1.0
5,12:32:19.206046,12:32:21.300427,1,1.0
5,12:32:19.206046,12:32:21.681381,1,1.0
5,12:32:19.206046,12:32:23.109943,-3,1.0
5,12:32:19.206046,12:32:23.291393,-3,1.0
5,12:32:19.206046,12:32:23.443328,-3,1.0
5,12:32:19.206046,12:32:23.605822,-3,1.0
5,12:32:19.206046,12:32:23.770244,1,1.0
5,12:32:19.206046,12:32:23.922357,1,1.0
5,12:32:19.206046,12:32:24.085353,1,1.0
5,12:32:19.206046,12:32:24.246676,1,1.0
5,12:32:19.206046,12:32:24.419611,1,1.0
5,12:32:19.206046,12:32:24.624436,1,1.0
5,12:32:19.206046,12:32:24.744339,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:32:24.747230,12:32:24.887672,1,1.0
6,12:32:24.747230,12:32:25.710171,-3,1.0
6,12:32:24.747230,12:32:26.301262,-3,1.0
6,12:32:24.747230,12:32:26.463117,-3,1.0
6,12:32:24.747230,12:32:26.642368,1,1.0
