Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:29:17.554953,00:29:18.755842,-6,1.0
1,00:29:17.554953,00:29:18.896300,2,1.0
1,00:29:17.554953,00:29:19.027442,2,1.0
1,00:29:17.554953,00:29:19.126206,2,1.0
1,00:29:17.554953,00:29:19.223077,2,1.0
1,00:29:17.554953,00:29:19.363948,2,1.0
1,00:29:17.554953,00:29:19.472958,2,1.0
1,00:29:17.554953,00:29:19.611378,2,1.0
1,00:29:17.554953,00:29:19.783884,2,1.0
1,00:29:17.554953,00:29:20.507294,-6,1.0
1,00:29:17.554953,00:29:20.700315,-6,1.0
1,00:29:17.554953,00:29:20.828766,-6,1.0
1,00:29:17.554953,00:29:20.969060,2,1.0
1,00:29:17.554953,00:29:21.090082,2,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:29:21.093567,00:29:21.197591,2,1.0
2,00:29:21.093567,00:29:21.317211,2,1.0
2,00:29:21.093567,00:29:22.670363,2,1.0
2,00:29:21.093567,00:29:22.873468,2,1.0
2,00:29:21.093567,00:29:23.285034,-6,1.0
2,00:29:21.093567,00:29:23.415793,2,1.0
2,00:29:21.093567,00:29:23.631981,-6,1.0
2,00:29:21.093567,00:29:23.935180,2,1.0
2,00:29:21.093567,00:29:24.076693,2,1.0
2,00:29:21.093567,00:29:24.217620,2,1.0
2,00:29:21.093567,00:29:24.337529,2,1.0
2,00:29:21.093567,00:29:24.445811,2,1.0
2,00:29:21.093567,00:29:24.690202,2,1.0
2,00:29:21.093567,00:29:24.832040,2,1.0
2,00:29:21.093567,00:29:24.970854,2,1.0
2,00:29:21.093567,00:29:25.080043,2,1.0
2,00:29:21.093567,00:29:25.146784,2,1.0
2,00:29:21.093567,00:29:25.287614,2,1.0
2,00:29:21.093567,00:29:25.441904,2,1.0
2,00:29:21.093567,00:29:26.040275,2,1.0
2,00:29:21.093567,00:29:26.159020,2,1.0
2,00:29:21.093567,00:29:27.147109,2,1.0
2,00:29:21.093567,00:29:27.256773,2,1.0
2,00:29:21.093567,00:29:28.412452,-6,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
