Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,01:16:00.183600,01:16:04.066267,-10,1.0
1,01:16:00.183600,01:16:04.243299,10,1.0
1,01:16:00.183600,01:16:04.453654,10,1.0
1,01:16:00.183600,01:16:04.653785,10,1.0
1,01:16:00.183600,01:16:04.855000,10,1.0
1,01:16:00.183600,01:16:05.055207,10,1.0
1,01:16:00.183600,01:16:05.275239,10,1.0
1,01:16:00.183600,01:16:05.495014,10,1.0
1,01:16:00.183600,01:16:05.714074,10,1.0
1,01:16:00.183600,01:16:05.913988,10,1.0
1,01:16:00.183600,01:16:06.238424,-10,1.0
1,01:16:00.183600,01:16:06.436423,-10,1.0
1,01:16:00.183600,01:16:06.613860,-10,1.0
1,01:16:00.183600,01:16:06.811448,-10,1.0
1,01:16:00.183600,01:16:07.000259,-10,1.0
1,01:16:00.183600,01:16:07.193797,-10,1.0
1,01:16:00.183600,01:16:07.381525,-10,1.0
1,01:16:00.183600,01:16:07.569319,10,1.0
1,01:16:00.183600,01:16:07.778180,10,1.0
1,01:16:00.183600,01:16:07.988478,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,01:16:07.995878,01:16:08.217796,10,1.0
2,01:16:07.995878,01:16:09.654026,-10,1.0
2,01:16:07.995878,01:16:09.853921,-10,1.0
2,01:16:07.995878,01:16:10.034622,-10,1.0
2,01:16:07.995878,01:16:10.252317,10,1.0
2,01:16:07.995878,01:16:10.459338,10,1.0
2,01:16:07.995878,01:16:10.658086,10,1.0
2,01:16:07.995878,01:16:10.864056,10,1.0
2,01:16:07.995878,01:16:11.085107,10,1.0
2,01:16:07.995878,01:16:11.284254,10,1.0
2,01:16:07.995878,01:16:11.494704,10,1.0
2,01:16:07.995878,01:16:11.705429,10,1.0
2,01:16:07.995878,01:16:11.937933,10,1.0
2,01:16:07.995878,01:16:12.324622,-10,1.0
2,01:16:07.995878,01:16:12.544355,-10,1.0
2,01:16:07.995878,01:16:12.715741,-10,1.0
2,01:16:07.995878,01:16:12.913895,-10,1.0
2,01:16:07.995878,01:16:13.112640,-10,1.0
2,01:16:07.995878,01:16:13.291361,-10,1.0
2,01:16:07.995878,01:16:13.492619,10,1.0
2,01:16:07.995878,01:16:13.692188,10,1.0
2,01:16:07.995878,01:16:13.915064,10,1.0
2,01:16:07.995878,01:16:14.125202,10,1.0
2,01:16:07.995878,01:16:14.345332,10,1.0
2,01:16:07.995878,01:16:14.535127,10,1.0
2,01:16:07.995878,01:16:14.775499,10,1.0
2,01:16:07.995878,01:16:15.005019,10,1.0
2,01:16:07.995878,01:16:15.235546,10,1.0
2,01:16:07.995878,01:16:15.453981,10,1.0
2,01:16:07.995878,01:16:15.694289,10,1.0
2,01:16:07.995878,01:16:15.945882,10,1.0
2,01:16:07.995878,01:16:16.220197,-10,1.0
2,01:16:07.995878,01:16:16.437432,-10,1.0
2,01:16:07.995878,01:16:16.596962,-10,1.0
2,01:16:07.995878,01:16:16.781585,-10,1.0
2,01:16:07.995878,01:16:16.960431,-10,1.0
2,01:16:07.995878,01:16:17.145566,-10,1.0
2,01:16:07.995878,01:16:17.343819,-10,1.0
2,01:16:07.995878,01:16:17.530393,10,1.0
2,01:16:07.995878,01:16:17.723698,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,01:16:17.726842,01:16:17.910904,10,1.0
3,01:16:17.726842,01:16:18.753120,10,1.0
