Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,01:12:04.498022,01:12:05.165917,-10,1.0
1,01:12:04.498022,01:12:05.398738,10,1.0
1,01:12:04.498022,01:12:05.607117,10,1.0
1,01:12:04.498022,01:12:05.788506,10,1.0
1,01:12:04.498022,01:12:06.010267,10,1.0
1,01:12:04.498022,01:12:06.211519,10,1.0
1,01:12:04.498022,01:12:06.399844,10,1.0
1,01:12:04.498022,01:12:06.935023,10,1.0
1,01:12:04.498022,01:12:07.429726,-10,1.0
1,01:12:04.498022,01:12:07.564071,-10,1.0
1,01:12:04.498022,01:12:07.732010,-10,1.0
1,01:12:04.498022,01:12:07.879337,-10,1.0
1,01:12:04.498022,01:12:08.027247,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,01:12:08.034487,01:12:08.959924,-10,1.0
2,01:12:08.034487,01:12:09.470398,-10,1.0
2,01:12:08.034487,01:12:09.720327,10,1.0
2,01:12:08.034487,01:12:09.898742,10,1.0
2,01:12:08.034487,01:12:10.107291,10,1.0
2,01:12:08.034487,01:12:10.317614,10,1.0
2,01:12:08.034487,01:12:10.493233,10,1.0
2,01:12:08.034487,01:12:10.830357,10,1.0
2,01:12:08.034487,01:12:11.123252,10,1.0
2,01:12:08.034487,01:12:11.469803,10,1.0
2,01:12:08.034487,01:12:11.907008,10,1.0
2,01:12:08.034487,01:12:13.258828,-10,1.0
2,01:12:08.034487,01:12:13.460699,-10,1.0
2,01:12:08.034487,01:12:13.649917,-10,1.0
2,01:12:08.034487,01:12:13.827959,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,01:12:13.834750,01:12:15.125356,-10,1.0
3,01:12:13.834750,01:12:15.542601,-10,1.0
3,01:12:13.834750,01:12:15.959807,10,1.0
3,01:12:13.834750,01:12:16.398737,10,1.0
3,01:12:13.834750,01:12:16.834320,10,1.0
3,01:12:13.834750,01:12:17.328987,10,1.0
3,01:12:13.834750,01:12:17.778105,10,1.0
3,01:12:13.834750,01:12:18.153803,10,1.0
3,01:12:13.834750,01:12:18.509403,10,1.0
3,01:12:13.834750,01:12:18.885672,10,1.0
3,01:12:13.834750,01:12:19.210129,10,1.0
3,01:12:13.834750,01:12:19.565905,10,1.0
3,01:12:13.834750,01:12:20.216719,-10,1.0
3,01:12:13.834750,01:12:20.514099,10,1.0
3,01:12:13.834750,01:12:20.989091,10,1.0
3,01:12:13.834750,01:12:21.392355,10,1.0
3,01:12:13.834750,01:12:21.770902,10,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,01:12:21.776563,01:12:22.891758,10,1.0
4,01:12:21.776563,01:12:23.303304,10,1.0
4,01:12:21.776563,01:12:24.876327,10,1.0
4,01:12:21.776563,01:12:25.346478,-10,1.0
4,01:12:21.776563,01:12:26.724056,10,1.0
4,01:12:21.776563,01:12:26.868125,10,1.0
4,01:12:21.776563,01:12:27.013030,10,1.0
4,01:12:21.776563,01:12:27.221845,10,1.0
