Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:25:44.315836,00:25:46.406510,1,1.0
1,00:25:44.315836,00:25:47.919194,-1,1.0
1,00:25:44.315836,00:25:48.104112,1,1.0
1,00:25:44.315836,00:25:48.435072,1,1.0
1,00:25:44.315836,00:25:48.627971,1,1.0
1,00:25:44.315836,00:25:48.726981,1,1.0
1,00:25:44.315836,00:25:49.125411,1,1.0
1,00:25:44.315836,00:25:49.280909,1,1.0
1,00:25:44.315836,00:25:49.442784,1,1.0
1,00:25:44.315836,00:25:49.620008,1,1.0
1,00:25:44.315836,00:25:50.733325,-1,1.0
1,00:25:44.315836,00:25:50.916003,-1,1.0
1,00:25:44.315836,00:25:51.139061,-1,1.0
1,00:25:44.315836,00:25:51.330300,-1,1.0
1,00:25:44.315836,00:25:51.494003,-1,1.0
1,00:25:44.315836,00:25:51.674561,-1,1.0
1,00:25:44.315836,00:25:51.855595,1,1.0
1,00:25:44.315836,00:25:52.037861,1,1.0
1,00:25:44.315836,00:25:52.229706,1,1.0
1,00:25:44.315836,00:25:52.413124,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:25:52.416067,00:25:53.806501,-1,1.0
2,00:25:52.416067,00:25:53.966570,-1,1.0
2,00:25:52.416067,00:25:54.294049,-1,1.0
2,00:25:52.416067,00:25:54.426146,1,1.0
2,00:25:52.416067,00:25:54.754493,1,1.0
2,00:25:52.416067,00:25:54.893135,1,1.0
2,00:25:52.416067,00:25:55.086822,1,1.0
2,00:25:52.416067,00:25:55.237013,1,1.0
2,00:25:52.416067,00:25:55.367043,1,1.0
2,00:25:52.416067,00:25:55.507031,1,1.0
2,00:25:52.416067,00:25:55.679006,1,1.0
2,00:25:52.416067,00:25:55.874200,-1,1.0
2,00:25:52.416067,00:25:56.001424,-1,1.0
2,00:25:52.416067,00:25:56.159750,-1,1.0
2,00:25:52.416067,00:25:56.258770,-1,1.0
2,00:25:52.416067,00:25:56.430639,-1,1.0
2,00:25:52.416067,00:25:56.614883,1,1.0
2,00:25:52.416067,00:25:56.755616,1,1.0
2,00:25:52.416067,00:25:56.875922,1,1.0
2,00:25:52.416067,00:25:56.994907,1,1.0
2,00:25:52.416067,00:25:57.125179,1,1.0
2,00:25:52.416067,00:25:57.276183,1,1.0
2,00:25:52.416067,00:25:57.396854,1,1.0
2,00:25:52.416067,00:25:57.527718,1,1.0
2,00:25:52.416067,00:25:57.657023,1,1.0
2,00:25:52.416067,00:25:57.786067,1,1.0
2,00:25:52.416067,00:25:58.923561,-1,1.0
2,00:25:52.416067,00:25:59.085795,-1,1.0
2,00:25:52.416067,00:25:59.194129,-1,1.0
2,00:25:52.416067,00:25:59.334242,-1,1.0
2,00:25:52.416067,00:25:59.577235,-1,1.0
2,00:25:52.416067,00:25:59.707373,-1,1.0
2,00:25:52.416067,00:25:59.827704,-1,1.0
2,00:25:52.416067,00:25:59.948976,-1,1.0
2,00:25:52.416067,00:26:00.070850,1,1.0
2,00:25:52.416067,00:26:00.198610,1,1.0
2,00:25:52.416067,00:26:00.349805,1,1.0
2,00:25:52.416067,00:26:00.480280,1,1.0
