Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:36:27.488740,12:36:28.755748,1,1.0
1,12:36:27.488740,12:36:29.618998,-3,1.0
1,12:36:27.488740,12:36:29.812115,1,1.0
1,12:36:27.488740,12:36:29.984679,1,1.0
1,12:36:27.488740,12:36:30.156740,1,1.0
1,12:36:27.488740,12:36:30.328850,1,1.0
1,12:36:27.488740,12:36:30.493599,1,1.0
1,12:36:27.488740,12:36:30.666141,1,1.0
1,12:36:27.488740,12:36:30.902555,1,1.0
1,12:36:27.488740,12:36:32.237353,-3,1.0
1,12:36:27.488740,12:36:32.451533,-3,1.0
1,12:36:27.488740,12:36:32.696418,-3,1.0
1,12:36:27.488740,12:36:32.932607,1,1.0
1,12:36:27.488740,12:36:33.144975,1,1.0
1,12:36:27.488740,12:36:33.339904,1,1.0
1,12:36:27.488740,12:36:33.536071,1,1.0
1,12:36:27.488740,12:36:33.729243,1,1.0
1,12:36:27.488740,12:36:33.921849,1,1.0
1,12:36:27.488740,12:36:34.134061,1,1.0
1,12:36:27.488740,12:36:34.369276,1,1.0
1,12:36:27.488740,12:36:34.606612,1,1.0
1,12:36:27.488740,12:36:35.300690,1,1.0
1,12:36:27.488740,12:36:35.691766,1,1.0
1,12:36:27.488740,12:36:36.075203,-3,1.0
1,12:36:27.488740,12:36:36.245538,-3,1.0
1,12:36:27.488740,12:36:36.406902,-3,1.0
1,12:36:27.488740,12:36:36.558215,-3,1.0
1,12:36:27.488740,12:36:36.709888,1,1.0
1,12:36:27.488740,12:36:36.871717,1,1.0
1,12:36:27.488740,12:36:37.021904,1,1.0
1,12:36:27.488740,12:36:37.171511,1,1.0
1,12:36:27.488740,12:36:37.333995,1,1.0
1,12:36:27.488740,12:36:37.443293,1,1.0
1,12:36:27.488740,12:36:37.614708,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:36:37.616804,12:36:37.773104,1,1.0
2,12:36:37.616804,12:36:38.267932,-3,1.0
2,12:36:37.616804,12:36:38.459594,-3,1.0
2,12:36:37.616804,12:36:38.653415,-3,1.0
2,12:36:37.616804,12:36:38.833747,1,1.0
2,12:36:37.616804,12:36:39.017981,1,1.0
2,12:36:37.616804,12:36:39.219896,1,1.0
2,12:36:37.616804,12:36:39.424504,1,1.0
2,12:36:37.616804,12:36:39.639830,1,1.0
2,12:36:37.616804,12:36:39.833143,1,1.0
2,12:36:37.616804,12:36:40.037588,1,1.0
2,12:36:37.616804,12:36:40.228562,1,1.0
2,12:36:37.616804,12:36:40.724979,-3,1.0
2,12:36:37.616804,12:36:40.898084,-3,1.0
2,12:36:37.616804,12:36:41.038197,-3,1.0
2,12:36:37.616804,12:36:41.198147,-3,1.0
2,12:36:37.616804,12:36:41.370786,1,1.0
2,12:36:37.616804,12:36:41.710068,-3,1.0
2,12:36:37.616804,12:36:41.904363,-3,1.0
2,12:36:37.616804,12:36:42.254294,-3,1.0
2,12:36:37.616804,12:36:42.404073,1,1.0
2,12:36:37.616804,12:36:42.544311,1,1.0
2,12:36:37.616804,12:36:42.685136,1,1.0
2,12:36:37.616804,12:36:42.825380,1,1.0
2,12:36:37.616804,12:36:42.935753,1,1.0
2,12:36:37.616804,12:36:43.118388,1,1.0
2,12:36:37.616804,12:36:43.281203,1,1.0
2,12:36:37.616804,12:36:43.951085,-3,1.0
2,12:36:37.616804,12:36:44.133639,-3,1.0
2,12:36:37.616804,12:36:44.296737,-3,1.0
2,12:36:37.616804,12:36:44.477598,-3,1.0
2,12:36:37.616804,12:36:44.649929,1,1.0
2,12:36:37.616804,12:36:44.842035,1,1.0
2,12:36:37.616804,12:36:45.017135,1,1.0
2,12:36:37.616804,12:36:45.218603,1,1.0
2,12:36:37.616804,12:36:45.412997,1,1.0
2,12:36:37.616804,12:36:45.617071,1,1.0
2,12:36:37.616804,12:36:45.820080,1,1.0
2,12:36:37.616804,12:36:46.023349,1,1.0
2,12:36:37.616804,12:36:46.238745,1,1.0
2,12:36:37.616804,12:36:47.299888,-3,1.0
2,12:36:37.616804,12:36:47.448814,-3,1.0
2,12:36:37.616804,12:36:47.601126,-3,1.0
2,12:36:37.616804,12:36:47.865934,-3,1.0
2,12:36:37.616804,12:36:48.006053,-3,1.0
2,12:36:37.616804,12:36:48.137553,1,1.0
2,12:36:37.616804,12:36:48.340012,1,1.0
2,12:36:37.616804,12:36:48.458990,1,1.0
2,12:36:37.616804,12:36:48.609666,1,1.0
2,12:36:37.616804,12:36:48.679399,1,1.0
2,12:36:37.616804,12:36:48.786954,1,1.0
2,12:36:37.616804,12:36:48.948580,1,1.0
2,12:36:37.616804,12:36:49.098615,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:36:49.102262,12:36:49.974338,-3,1.0
3,12:36:49.102262,12:36:50.198264,-3,1.0
3,12:36:49.102262,12:36:50.441998,-3,1.0
