Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:20:41.526233,00:20:46.997544,-1,1.0
1,00:20:41.526233,00:20:47.138615,-1,1.0
1,00:20:41.526233,00:20:47.287899,-1,1.0
1,00:20:41.526233,00:20:47.408388,-1,1.0
1,00:20:41.526233,00:20:47.476134,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:20:47.479727,00:20:47.616379,-1,1.0
2,00:20:47.479727,00:20:47.758263,-1,1.0
2,00:20:47.479727,00:20:51.897801,-1,1.0
2,00:20:47.479727,00:20:52.051069,1,1.0
2,00:20:47.479727,00:20:52.192126,1,1.0
2,00:20:47.479727,00:20:52.322812,1,1.0
2,00:20:47.479727,00:20:52.452854,1,1.0
2,00:20:47.479727,00:20:52.569039,1,1.0
2,00:20:47.479727,00:20:52.666571,1,1.0
