Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:19:01.357857,00:19:02.327156,-1,1.0
1,00:19:01.357857,00:19:05.069993,-1,1.0
1,00:19:01.357857,00:19:07.974480,-1,1.0
1,00:19:01.357857,00:19:09.472673,1,1.0
1,00:19:01.357857,00:19:10.006487,1,1.0
1,00:19:01.357857,00:19:10.209624,1,1.0
1,00:19:01.357857,00:19:10.402515,1,1.0
1,00:19:01.357857,00:19:10.595297,1,1.0
1,00:19:01.357857,00:19:10.796724,1,1.0
1,00:19:01.357857,00:19:11.019760,1,1.0
1,00:19:01.357857,00:19:13.151368,-1,1.0
1,00:19:01.357857,00:19:13.631211,-1,1.0
1,00:19:01.357857,00:19:13.812047,-1,1.0
1,00:19:01.357857,00:19:13.992485,-1,1.0
1,00:19:01.357857,00:19:14.165109,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:19:14.168051,00:19:16.553071,1,1.0
2,00:19:14.168051,00:19:18.529015,-1,1.0
2,00:19:14.168051,00:19:18.824291,-1,1.0
2,00:19:14.168051,00:19:18.996215,-1,1.0
2,00:19:14.168051,00:19:19.252254,-1,1.0
2,00:19:14.168051,00:19:19.530190,-1,1.0
2,00:19:14.168051,00:19:19.880568,-1,1.0
