Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:04:15.374680,16:04:16.518405,-1,-1.0
1,16:04:15.374680,16:04:17.373385,-1,-1.0
1,16:04:15.374680,16:04:18.290966,1,-1.0
1,16:04:15.374680,16:04:18.517471,1,-1.0
1,16:04:15.374680,16:04:18.739535,1,-1.0
1,16:04:15.374680,16:04:18.956586,1,-1.0
1,16:04:15.374680,16:04:19.193094,1,-1.0
1,16:04:15.374680,16:04:19.420186,1,-1.0
1,16:04:15.374680,16:04:19.651072,1,-1.0
1,16:04:15.374680,16:04:19.880306,1,-1.0
1,16:04:15.374680,16:04:20.117632,1,-1.0
1,16:04:15.374680,16:04:20.363061,1,-1.0
1,16:04:15.374680,16:04:20.574235,1,-1.0
1,16:04:15.374680,16:04:20.822076,1,-1.0
1,16:04:15.374680,16:04:21.043174,1,-1.0
1,16:04:15.374680,16:04:21.288702,1,-1.0
1,16:04:15.374680,16:04:21.541118,1,-1.0
1,16:04:15.374680,16:04:21.766448,1,-1.0
1,16:04:15.374680,16:04:21.990675,1,-1.0
1,16:04:15.374680,16:04:22.229195,1,-1.0
1,16:04:15.374680,16:04:22.637216,-1,-1.0
1,16:04:15.374680,16:04:23.032589,-1,-1.0
1,16:04:15.374680,16:04:23.377658,-1,-1.0
1,16:04:15.374680,16:04:23.765683,-1,-1.0
1,16:04:15.374680,16:04:24.345090,-1,-1.0
1,16:04:15.374680,16:04:24.901831,-1,-1.0
1,16:04:15.374680,16:04:25.353026,-1,-1.0
1,16:04:15.374680,16:04:25.741260,-1,-1.0
1,16:04:15.374680,16:04:26.282229,-1,-1.0
1,16:04:15.374680,16:04:26.595121,1,-1.0
1,16:04:15.374680,16:04:26.901006,1,-1.0
1,16:04:15.374680,16:04:27.094187,1,-1.0
1,16:04:15.374680,16:04:27.323146,1,-1.0
1,16:04:15.374680,16:04:27.540705,1,-1.0
1,16:04:15.374680,16:04:27.759863,1,-1.0
1,16:04:15.374680,16:04:27.984562,1,-1.0
1,16:04:15.374680,16:04:28.216734,1,-1.0
1,16:04:15.374680,16:04:28.448424,1,-1.0
1,16:04:15.374680,16:04:28.690442,1,-1.0
1,16:04:15.374680,16:04:28.928623,1,-1.0
1,16:04:15.374680,16:04:29.163130,1,-1.0
1,16:04:15.374680,16:04:29.409313,1,-1.0
1,16:04:15.374680,16:04:29.650198,1,-1.0
1,16:04:15.374680,16:04:29.914870,1,-1.0
1,16:04:15.374680,16:04:30.159636,1,-1.0
1,16:04:15.374680,16:04:30.404328,1,-1.0
1,16:04:15.374680,16:04:30.668869,1,-1.0
1,16:04:15.374680,16:04:31.006202,1,-1.0
1,16:04:15.374680,16:04:31.360945,-1,-1.0
1,16:04:15.374680,16:04:31.659507,-1,-1.0
1,16:04:15.374680,16:04:31.987741,-1,-1.0
1,16:04:15.374680,16:04:32.774235,1,-1.0
1,16:04:15.374680,16:04:33.033737,1,-1.0
1,16:04:15.374680,16:04:33.246166,1,-1.0
1,16:04:15.374680,16:04:33.478976,1,-1.0
1,16:04:15.374680,16:04:33.704688,1,-1.0
1,16:04:15.374680,16:04:33.929181,1,-1.0
1,16:04:15.374680,16:04:34.176008,1,-1.0
1,16:04:15.374680,16:04:34.412896,1,-1.0
1,16:04:15.374680,16:04:34.666255,1,-1.0
1,16:04:15.374680,16:04:34.971151,1,-1.0
1,16:04:15.374680,16:04:35.233945,1,-1.0
1,16:04:15.374680,16:04:35.494672,1,-1.0
1,16:04:15.374680,16:04:35.733674,1,-1.0
1,16:04:15.374680,16:04:35.988145,1,-1.0
1,16:04:15.374680,16:04:36.234692,1,-1.0
1,16:04:15.374680,16:04:36.485177,1,-1.0
1,16:04:15.374680,16:04:36.728287,1,-1.0
1,16:04:15.374680,16:04:36.986243,1,-1.0
1,16:04:15.374680,16:04:37.251276,1,-1.0
1,16:04:15.374680,16:04:37.526049,1,-1.0
1,16:04:15.374680,16:04:37.791659,1,-1.0
1,16:04:15.374680,16:04:38.066680,1,-1.0
1,16:04:15.374680,16:04:38.313737,1,-1.0
1,16:04:15.374680,16:04:38.589536,1,-1.0
1,16:04:15.374680,16:04:38.835240,1,-1.0
1,16:04:15.374680,16:04:39.118023,1,-1.0
1,16:04:15.374680,16:04:39.392392,1,-1.0
1,16:04:15.374680,16:04:39.698159,1,-1.0
1,16:04:15.374680,16:04:39.931432,1,-1.0
1,16:04:15.374680,16:04:40.190463,1,-1.0
1,16:04:15.374680,16:04:40.468371,1,-1.0
1,16:04:15.374680,16:04:40.753025,1,-1.0
1,16:04:15.374680,16:04:41.074054,1,-1.0
1,16:04:15.374680,16:04:41.370327,1,-1.0
1,16:04:15.374680,16:04:41.694235,1,-1.0
1,16:04:15.374680,16:04:41.977675,1,-1.0
1,16:04:15.374680,16:04:42.564313,1,-1.0
1,16:04:15.374680,16:04:42.831933,1,-1.0
1,16:04:15.374680,16:04:43.096104,1,-1.0
1,16:04:15.374680,16:04:43.395047,1,-1.0
1,16:04:15.374680,16:04:43.727237,1,-1.0
1,16:04:15.374680,16:04:43.883075,1,-1.0
1,16:04:15.374680,16:04:44.273040,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:04:44.586832,16:04:45.202737,1,-1.0
2,16:04:44.586832,16:04:45.459439,1,-1.0
2,16:04:44.586832,16:04:45.707196,1,-1.0
2,16:04:44.586832,16:04:45.945775,1,-1.0
2,16:04:44.586832,16:04:46.186132,1,-1.0
2,16:04:44.586832,16:04:46.462351,1,-1.0
2,16:04:44.586832,16:04:46.721551,1,-1.0
2,16:04:44.586832,16:04:47.007554,1,-1.0
2,16:04:44.586832,16:04:47.232539,1,-1.0
2,16:04:44.586832,16:04:47.466237,1,-1.0
2,16:04:44.586832,16:04:47.703901,1,-1.0
2,16:04:44.586832,16:04:47.967337,1,-1.0
2,16:04:44.586832,16:04:48.194449,1,-1.0
2,16:04:44.586832,16:04:48.446798,1,-1.0
2,16:04:44.586832,16:04:48.821588,1,-1.0
2,16:04:44.586832,16:04:49.092614,1,-1.0
2,16:04:44.586832,16:04:49.324581,1,-1.0
2,16:04:44.586832,16:04:49.902239,1,-1.0
2,16:04:44.586832,16:04:50.153174,1,-1.0
2,16:04:44.586832,16:04:50.695837,1,-1.0
2,16:04:44.586832,16:04:51.038456,1,-1.0
2,16:04:44.586832,16:04:51.299600,1,-1.0
2,16:04:44.586832,16:04:51.589651,-1,-1.0
