Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:18:09.531819,17:18:31.659234,-1,-1.0
1,17:18:09.531819,17:18:32.005445,-1,-1.0
1,17:18:09.531819,17:18:32.489345,-1,-1.0
1,17:18:09.531819,17:18:32.838678,-1,-1.0
1,17:18:09.531819,17:18:33.211216,-1,-1.0
1,17:18:09.531819,17:18:33.995851,-1,-1.0
1,17:18:09.531819,17:18:35.081339,-1,-1.0
1,17:18:09.531819,17:18:36.039827,1,-1.0
1,17:18:09.531819,17:18:36.604457,1,-1.0
1,17:18:09.531819,17:18:36.947518,-1,-1.0
1,17:18:09.531819,17:18:37.254280,-1,-1.0
1,17:18:09.531819,17:18:37.906756,-1,-1.0
1,17:18:09.531819,17:18:38.108622,-1,-1.0
1,17:18:09.531819,17:18:38.681666,-1,-1.0
1,17:18:09.531819,17:18:39.308442,-1,-1.0
1,17:18:09.531819,17:18:39.884477,1,-1.0
1,17:18:09.531819,17:18:40.067414,1,-1.0
1,17:18:09.531819,17:18:40.249619,1,-1.0
1,17:18:09.531819,17:18:40.672680,1,-1.0
1,17:18:09.531819,17:18:40.845978,1,-1.0
1,17:18:09.531819,17:18:41.009797,1,-1.0
1,17:18:09.531819,17:18:41.181127,1,-1.0
1,17:18:09.531819,17:18:41.341528,1,-1.0
1,17:18:09.531819,17:18:41.491500,1,-1.0
1,17:18:09.531819,17:18:41.652368,1,-1.0
1,17:18:09.531819,17:18:41.813530,1,-1.0
1,17:18:09.531819,17:18:41.985739,1,-1.0
1,17:18:09.531819,17:18:42.125972,1,-1.0
1,17:18:09.531819,17:18:42.246389,1,-1.0
1,17:18:09.531819,17:18:42.347610,1,-1.0
1,17:18:09.531819,17:18:42.487293,1,-1.0
1,17:18:09.531819,17:18:42.741404,1,-1.0
1,17:18:09.531819,17:18:42.910986,1,-1.0
1,17:18:09.531819,17:18:43.072548,1,-1.0
1,17:18:09.531819,17:18:43.231919,1,-1.0
1,17:18:09.531819,17:18:43.390587,1,-1.0
1,17:18:09.531819,17:18:47.193589,-1,-1.0
1,17:18:09.531819,17:18:47.794906,-1,-1.0
1,17:18:09.531819,17:18:48.170549,-1,-1.0
1,17:18:09.531819,17:18:48.520394,-1,-1.0
1,17:18:09.531819,17:18:48.811000,-1,-1.0
1,17:18:09.531819,17:18:49.379672,-1,-1.0
1,17:18:09.531819,17:18:49.695722,-1,-1.0
1,17:18:09.531819,17:18:50.074920,-1,-1.0
1,17:18:09.531819,17:18:50.436876,-1,-1.0
1,17:18:09.531819,17:18:50.816779,-1,-1.0
1,17:18:09.531819,17:18:51.121370,-1,-1.0
1,17:18:09.531819,17:18:51.354894,-1,-1.0
1,17:18:09.531819,17:18:51.546881,-1,-1.0
1,17:18:09.531819,17:18:51.728559,-1,-1.0
1,17:18:09.531819,17:18:52.234820,-1,-1.0
1,17:18:09.531819,17:18:52.564620,-1,-1.0
1,17:18:09.531819,17:18:53.229769,1,-1.0
1,17:18:09.531819,17:18:53.478586,1,-1.0
1,17:18:09.531819,17:18:53.650985,1,-1.0
1,17:18:09.531819,17:18:53.948957,1,-1.0
1,17:18:09.531819,17:18:54.130717,1,-1.0
1,17:18:09.531819,17:18:54.695248,-1,-1.0
1,17:18:09.531819,17:18:54.846132,-1,-1.0
1,17:18:09.531819,17:18:55.089952,-1,-1.0
1,17:18:09.531819,17:18:55.269756,-1,-1.0
1,17:18:09.531819,17:18:55.431086,-1,-1.0
1,17:18:09.531819,17:18:55.593535,-1,-1.0
1,17:18:09.531819,17:18:55.783660,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
