Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:01:26.373252,15:01:27.460392,1,-1.0
1,15:01:26.373252,15:01:27.684608,1,-1.0
1,15:01:26.373252,15:01:27.896801,1,-1.0
1,15:01:26.373252,15:01:28.143992,1,-1.0
1,15:01:26.373252,15:01:28.377302,1,-1.0
1,15:01:26.373252,15:01:28.626239,1,-1.0
1,15:01:26.373252,15:01:28.873667,1,-1.0
1,15:01:26.373252,15:01:29.174549,1,-1.0
1,15:01:26.373252,15:01:29.422985,1,-1.0
1,15:01:26.373252,15:01:29.658175,1,-1.0
1,15:01:26.373252,15:01:29.908192,1,-1.0
1,15:01:26.373252,15:01:30.303600,1,-1.0
1,15:01:26.373252,15:01:30.511911,1,-1.0
1,15:01:26.373252,15:01:30.763024,1,-1.0
1,15:01:26.373252,15:01:30.991480,1,-1.0
1,15:01:26.373252,15:01:31.246277,1,-1.0
1,15:01:26.373252,15:01:31.499977,1,-1.0
1,15:01:26.373252,15:01:31.724197,1,-1.0
1,15:01:26.373252,15:01:32.098156,1,-1.0
1,15:01:26.373252,15:01:32.557117,-1,-1.0
1,15:01:26.373252,15:01:32.847436,-1,-1.0
1,15:01:26.373252,15:01:33.489953,-1,-1.0
1,15:01:26.373252,15:01:34.061878,-1,-1.0
1,15:01:26.373252,15:01:34.506172,-1,-1.0
1,15:01:26.373252,15:01:34.858429,-1,-1.0
1,15:01:26.373252,15:01:35.318434,-1,-1.0
1,15:01:26.373252,15:01:35.938299,-1,-1.0
1,15:01:26.373252,15:01:36.585148,-1,-1.0
1,15:01:26.373252,15:01:36.862652,1,-1.0
1,15:01:26.373252,15:01:37.106286,1,-1.0
1,15:01:26.373252,15:01:37.407841,1,-1.0
1,15:01:26.373252,15:01:37.637717,1,-1.0
1,15:01:26.373252,15:01:37.891279,1,-1.0
1,15:01:26.373252,15:01:38.141481,1,-1.0
1,15:01:26.373252,15:01:38.513858,1,-1.0
1,15:01:26.373252,15:01:38.765903,1,-1.0
1,15:01:26.373252,15:01:39.046403,1,-1.0
1,15:01:26.373252,15:01:39.283255,1,-1.0
1,15:01:26.373252,15:01:39.506382,1,-1.0
1,15:01:26.373252,15:01:39.708415,1,-1.0
1,15:01:26.373252,15:01:39.934116,1,-1.0
1,15:01:26.373252,15:01:40.147878,1,-1.0
1,15:01:26.373252,15:01:40.389030,1,-1.0
1,15:01:26.373252,15:01:40.600593,1,-1.0
1,15:01:26.373252,15:01:40.826815,1,-1.0
1,15:01:26.373252,15:01:41.021429,1,-1.0
1,15:01:26.373252,15:01:41.239069,1,-1.0
1,15:01:26.373252,15:01:41.464481,1,-1.0
1,15:01:26.373252,15:01:41.693280,1,-1.0
1,15:01:26.373252,15:01:41.929923,1,-1.0
1,15:01:26.373252,15:01:42.184853,1,-1.0
1,15:01:26.373252,15:01:42.474752,1,-1.0
1,15:01:26.373252,15:01:42.713026,1,-1.0
1,15:01:26.373252,15:01:43.009537,1,-1.0
1,15:01:26.373252,15:01:43.246335,1,-1.0
1,15:01:26.373252,15:01:43.459362,1,-1.0
1,15:01:26.373252,15:01:43.674322,1,-1.0
1,15:01:26.373252,15:01:43.913792,1,-1.0
1,15:01:26.373252,15:01:44.131993,1,-1.0
1,15:01:26.373252,15:01:44.354231,1,-1.0
1,15:01:26.373252,15:01:44.606494,1,-1.0
1,15:01:26.373252,15:01:44.839157,1,-1.0
1,15:01:26.373252,15:01:45.060700,1,-1.0
1,15:01:26.373252,15:01:45.312502,1,-1.0
1,15:01:26.373252,15:01:45.534063,1,-1.0
1,15:01:26.373252,15:01:45.763656,1,-1.0
1,15:01:26.373252,15:01:46.051492,1,-1.0
1,15:01:26.373252,15:01:46.607061,-1,-1.0
1,15:01:26.373252,15:01:46.852704,-1,-1.0
1,15:01:26.373252,15:01:47.211410,-1,-1.0
1,15:01:26.373252,15:01:47.466816,-1,-1.0
1,15:01:26.373252,15:01:47.767193,-1,-1.0
1,15:01:26.373252,15:01:48.058703,-1,-1.0
1,15:01:26.373252,15:01:48.348037,-1,-1.0
1,15:01:26.373252,15:01:49.069652,1,-1.0
1,15:01:26.373252,15:01:49.358860,1,-1.0
1,15:01:26.373252,15:01:49.619619,1,-1.0
1,15:01:26.373252,15:01:49.875913,1,-1.0
1,15:01:26.373252,15:01:50.209245,1,-1.0
1,15:01:26.373252,15:01:50.523542,1,-1.0
1,15:01:26.373252,15:01:50.839200,1,-1.0
1,15:01:26.373252,15:01:51.026710,1,-1.0
1,15:01:26.373252,15:01:51.435882,1,-1.0
1,15:01:26.373252,15:01:51.775531,1,-1.0
1,15:01:26.373252,15:01:52.079052,1,-1.0
1,15:01:26.373252,15:01:52.359612,1,-1.0
1,15:01:26.373252,15:01:52.716521,1,-1.0
1,15:01:26.373252,15:01:53.058184,1,-1.0
1,15:01:26.373252,15:01:53.331337,1,-1.0
1,15:01:26.373252,15:01:53.563937,1,-1.0
1,15:01:26.373252,15:01:53.896066,1,-1.0
1,15:01:26.373252,15:01:54.174021,1,-1.0
1,15:01:26.373252,15:01:54.507326,-1,-1.0
1,15:01:26.373252,15:01:54.736923,-1,-1.0
1,15:01:26.373252,15:01:55.483361,1,-1.0
1,15:01:26.373252,15:01:55.740032,1,-1.0
1,15:01:26.373252,15:01:56.167450,1,-1.0
1,15:01:26.373252,15:01:56.419101,1,-1.0
1,15:01:26.373252,15:01:56.701452,1,-1.0
1,15:01:26.373252,15:01:56.995369,1,-1.0
1,15:01:26.373252,15:01:57.266067,1,-1.0
1,15:01:26.373252,15:01:57.534311,1,-1.0
1,15:01:26.373252,15:01:57.771119,1,-1.0
1,15:01:26.373252,15:01:58.016876,1,-1.0
1,15:01:26.373252,15:01:58.291120,1,-1.0
1,15:01:26.373252,15:01:58.520949,1,-1.0
1,15:01:26.373252,15:01:58.782848,1,-1.0
1,15:01:26.373252,15:01:59.027993,1,-1.0
1,15:01:26.373252,15:01:59.402072,1,-1.0
1,15:01:26.373252,15:01:59.627292,1,-1.0
1,15:01:26.373252,15:01:59.917004,1,-1.0
1,15:01:26.373252,15:02:00.153695,1,-1.0
1,15:01:26.373252,15:02:00.404390,1,-1.0
1,15:01:26.373252,15:02:00.670157,1,-1.0
1,15:01:26.373252,15:02:00.962084,1,-1.0
1,15:01:26.373252,15:02:01.243416,1,-1.0
1,15:01:26.373252,15:02:01.536056,1,-1.0
1,15:01:26.373252,15:02:01.781723,1,-1.0
1,15:01:26.373252,15:02:02.320927,1,-1.0
1,15:01:26.373252,15:02:02.569198,1,-1.0
1,15:01:26.373252,15:02:03.000942,1,-1.0
1,15:01:26.373252,15:02:03.203309,1,-1.0
1,15:01:26.373252,15:02:04.258582,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:02:05.512385,15:02:06.304934,1,-1.0
2,15:02:05.512385,15:02:06.567936,1,-1.0
2,15:02:05.512385,15:02:06.828092,1,-1.0
2,15:02:05.512385,15:02:07.072492,1,-1.0
2,15:02:05.512385,15:02:07.311078,1,-1.0
2,15:02:05.512385,15:02:07.563879,1,-1.0
2,15:02:05.512385,15:02:07.826158,1,-1.0
2,15:02:05.512385,15:02:08.092587,1,-1.0
2,15:02:05.512385,15:02:08.325871,1,-1.0
2,15:02:05.512385,15:02:08.613143,1,-1.0
2,15:02:05.512385,15:02:08.930064,1,-1.0
2,15:02:05.512385,15:02:09.209965,1,-1.0
2,15:02:05.512385,15:02:09.443258,1,-1.0
2,15:02:05.512385,15:02:09.760485,1,-1.0
2,15:02:05.512385,15:02:10.032372,1,-1.0
2,15:02:05.512385,15:02:10.313417,1,-1.0
2,15:02:05.512385,15:02:10.872466,-1,-1.0
2,15:02:05.512385,15:02:11.220787,-1,-1.0
2,15:02:05.512385,15:02:11.528402,-1,-1.0
2,15:02:05.512385,15:02:11.868247,-1,-1.0
2,15:02:05.512385,15:02:12.153043,-1,-1.0
2,15:02:05.512385,15:02:12.491469,-1,-1.0
2,15:02:05.512385,15:02:12.744837,-1,-1.0
2,15:02:05.512385,15:02:13.184673,-1,-1.0
2,15:02:05.512385,15:02:13.653670,-1,-1.0
2,15:02:05.512385,15:02:14.159661,1,-1.0
2,15:02:05.512385,15:02:14.394039,1,-1.0
2,15:02:05.512385,15:02:14.619217,1,-1.0
2,15:02:05.512385,15:02:14.875300,1,-1.0
2,15:02:05.512385,15:02:15.140313,1,-1.0
2,15:02:05.512385,15:02:15.377197,1,-1.0
2,15:02:05.512385,15:02:15.631405,1,-1.0
2,15:02:05.512385,15:02:15.882565,1,-1.0
2,15:02:05.512385,15:02:16.130558,1,-1.0
2,15:02:05.512385,15:02:16.367698,1,-1.0
2,15:02:05.512385,15:02:16.628679,1,-1.0
2,15:02:05.512385,15:02:16.869307,1,-1.0
2,15:02:05.512385,15:02:17.102454,1,-1.0
2,15:02:05.512385,15:02:17.356798,1,-1.0
2,15:02:05.512385,15:02:17.629623,1,-1.0
2,15:02:05.512385,15:02:17.889954,1,-1.0
2,15:02:05.512385,15:02:18.205420,1,-1.0
2,15:02:05.512385,15:02:18.480211,1,-1.0
2,15:02:05.512385,15:02:18.763651,1,-1.0
2,15:02:05.512385,15:02:19.037645,1,-1.0
2,15:02:05.512385,15:02:19.358353,-1,-1.0
2,15:02:05.512385,15:02:19.625950,-1,-1.0
2,15:02:05.512385,15:02:20.237753,1,-1.0
2,15:02:05.512385,15:02:20.485508,1,-1.0
2,15:02:05.512385,15:02:20.712780,1,-1.0
2,15:02:05.512385,15:02:20.950907,1,-1.0
2,15:02:05.512385,15:02:21.199627,1,-1.0
2,15:02:05.512385,15:02:21.458858,1,-1.0
2,15:02:05.512385,15:02:21.724655,1,-1.0
2,15:02:05.512385,15:02:22.004500,1,-1.0
2,15:02:05.512385,15:02:22.239619,1,-1.0
2,15:02:05.512385,15:02:22.496637,1,-1.0
2,15:02:05.512385,15:02:22.768026,1,-1.0
2,15:02:05.512385,15:02:23.048577,1,-1.0
2,15:02:05.512385,15:02:23.298394,1,-1.0
2,15:02:05.512385,15:02:23.647122,1,-1.0
2,15:02:05.512385,15:02:23.922900,1,-1.0
2,15:02:05.512385,15:02:24.233736,1,-1.0
2,15:02:05.512385,15:02:24.503074,1,-1.0
2,15:02:05.512385,15:02:24.771800,1,-1.0
2,15:02:05.512385,15:02:25.033761,1,-1.0
2,15:02:05.512385,15:02:25.299852,1,-1.0
2,15:02:05.512385,15:02:25.555884,1,-1.0
2,15:02:05.512385,15:02:25.834615,1,-1.0
2,15:02:05.512385,15:02:26.101568,1,-1.0
2,15:02:05.512385,15:02:26.369590,1,-1.0
2,15:02:05.512385,15:02:26.618151,1,-1.0
