Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:28:17.693039,19:28:23.325382,1,-1.0
1,19:28:17.693039,19:28:23.723850,1,-1.0
1,19:28:17.693039,19:28:24.149400,1,-1.0
1,19:28:17.693039,19:28:25.178264,1,-1.0
1,19:28:17.693039,19:28:25.619772,1,-1.0
1,19:28:17.693039,19:28:26.744881,1,-1.0
1,19:28:17.693039,19:28:27.216956,1,-1.0
1,19:28:17.693039,19:28:27.589998,1,-1.0
1,19:28:17.693039,19:28:28.801980,1,-1.0
1,19:28:17.693039,19:28:32.643788,-1,-1.0
1,19:28:17.693039,19:28:34.503352,-1,-1.0
1,19:28:17.693039,19:28:34.910656,-1,-1.0
1,19:28:17.693039,19:28:35.532032,-1,-1.0
1,19:28:17.693039,19:28:36.246600,-1,-1.0
1,19:28:17.693039,19:28:36.772438,-1,-1.0
1,19:28:17.693039,19:28:38.172749,-1,-1.0
1,19:28:17.693039,19:28:47.069484,-1,-1.0
1,19:28:17.693039,19:28:50.270948,1,-1.0
1,19:28:17.693039,19:28:51.551083,-1,-1.0
1,19:28:17.693039,19:28:51.866000,-1,-1.0
1,19:28:17.693039,19:28:52.164440,-1,-1.0
1,19:28:17.693039,19:28:52.395680,-1,-1.0
1,19:28:17.693039,19:28:52.601403,-1,-1.0
1,19:28:17.693039,19:28:52.829222,-1,-1.0
1,19:28:17.693039,19:28:52.979622,-1,-1.0
1,19:28:17.693039,19:28:53.210361,-1,-1.0
1,19:28:17.693039,19:28:53.401698,-1,-1.0
1,19:28:17.693039,19:28:53.580447,-1,-1.0
1,19:28:17.693039,19:28:53.780619,-1,-1.0
1,19:28:17.693039,19:28:53.970616,-1,-1.0
1,19:28:17.693039,19:28:54.152892,-1,-1.0
1,19:28:17.693039,19:28:54.340382,-1,-1.0
1,19:28:17.693039,19:28:54.500626,-1,-1.0
1,19:28:17.693039,19:28:54.647027,-1,-1.0
1,19:28:17.693039,19:28:54.798550,-1,-1.0
1,19:28:17.693039,19:28:54.965739,-1,-1.0
1,19:28:17.693039,19:28:55.099216,-1,-1.0
1,19:28:17.693039,19:28:55.402019,-1,-1.0
1,19:28:17.693039,19:28:55.590851,-1,-1.0
1,19:28:17.693039,19:28:55.749926,-1,-1.0
1,19:28:17.693039,19:28:55.928418,-1,-1.0
1,19:28:17.693039,19:28:56.119611,-1,-1.0
1,19:28:17.693039,19:28:56.285813,-1,-1.0
1,19:28:17.693039,19:28:56.477108,-1,-1.0
1,19:28:17.693039,19:28:56.681824,-1,-1.0
1,19:28:17.693039,19:28:57.116319,-1,-1.0
1,19:28:17.693039,19:28:57.422845,-1,-1.0
1,19:28:17.693039,19:28:57.564141,-1,-1.0
1,19:28:17.693039,19:28:57.784281,-1,-1.0
1,19:28:17.693039,19:28:58.136467,-1,-1.0
1,19:28:17.693039,19:28:58.361399,-1,-1.0
1,19:28:17.693039,19:28:58.448495,1,-1.0
1,19:28:17.693039,19:28:58.664652,1,-1.0
1,19:28:17.693039,19:28:58.841830,1,-1.0
1,19:28:17.693039,19:28:58.978320,1,-1.0
1,19:28:17.693039,19:28:59.246171,1,-1.0
1,19:28:17.693039,19:28:59.368026,1,-1.0
1,19:28:17.693039,19:28:59.505674,1,-1.0
1,19:28:17.693039,19:28:59.680692,1,-1.0
1,19:28:17.693039,19:28:59.835796,1,-1.0
1,19:28:17.693039,19:28:59.981572,1,-1.0
1,19:28:17.693039,19:29:00.156345,1,-1.0
1,19:28:17.693039,19:29:00.330428,1,-1.0
1,19:28:17.693039,19:29:00.498379,1,-1.0
1,19:28:17.693039,19:29:00.677592,1,-1.0
1,19:28:17.693039,19:29:00.810687,1,-1.0
1,19:28:17.693039,19:29:01.012238,1,-1.0
1,19:28:17.693039,19:29:01.417589,1,-1.0
1,19:28:17.693039,19:29:01.637064,1,-1.0
1,19:28:17.693039,19:29:01.778213,1,-1.0
1,19:28:17.693039,19:29:01.969109,1,-1.0
1,19:28:17.693039,19:29:02.144370,1,-1.0
1,19:28:17.693039,19:29:02.315344,1,-1.0
1,19:28:17.693039,19:29:02.461269,1,-1.0
1,19:28:17.693039,19:29:02.617605,1,-1.0
1,19:28:17.693039,19:29:02.762831,1,-1.0
1,19:28:17.693039,19:29:02.926248,1,-1.0
1,19:28:17.693039,19:29:03.108484,1,-1.0
1,19:28:17.693039,19:29:03.291436,1,-1.0
1,19:28:17.693039,19:29:03.456311,1,-1.0
1,19:28:17.693039,19:29:03.626714,1,-1.0
1,19:28:17.693039,19:29:03.815321,1,-1.0
1,19:28:17.693039,19:29:03.996342,1,-1.0
1,19:28:17.693039,19:29:04.164936,1,-1.0
1,19:28:17.693039,19:29:04.855145,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
