Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:14:28.734854,14:14:29.484984,1,-1.0
1,14:14:28.734854,14:14:29.852864,1,-1.0
1,14:14:28.734854,14:14:30.155089,1,-1.0
1,14:14:28.734854,14:14:30.465946,1,-1.0
1,14:14:28.734854,14:14:30.841569,1,-1.0
1,14:14:28.734854,14:14:31.355260,-1,-1.0
1,14:14:28.734854,14:14:31.688134,-1,-1.0
1,14:14:28.734854,14:14:32.021807,-1,-1.0
1,14:14:28.734854,14:14:32.352830,-1,-1.0
1,14:14:28.734854,14:14:33.038799,-1,-1.0
1,14:14:28.734854,14:14:33.289422,1,-1.0
1,14:14:28.734854,14:14:33.581142,1,-1.0
1,14:14:28.734854,14:14:33.804387,1,-1.0
1,14:14:28.734854,14:14:34.026757,1,-1.0
1,14:14:28.734854,14:14:34.267830,1,-1.0
1,14:14:28.734854,14:14:34.529611,1,-1.0
1,14:14:28.734854,14:14:34.787552,1,-1.0
1,14:14:28.734854,14:14:35.043932,1,-1.0
1,14:14:28.734854,14:14:35.280106,1,-1.0
1,14:14:28.734854,14:14:35.567907,1,-1.0
1,14:14:28.734854,14:14:35.809319,1,-1.0
1,14:14:28.734854,14:14:36.092883,1,-1.0
1,14:14:28.734854,14:14:36.317345,1,-1.0
1,14:14:28.734854,14:14:36.560356,1,-1.0
1,14:14:28.734854,14:14:36.810197,1,-1.0
1,14:14:28.734854,14:14:37.186456,1,-1.0
1,14:14:28.734854,14:14:37.429195,1,-1.0
1,14:14:28.734854,14:14:37.699809,1,-1.0
1,14:14:28.734854,14:14:37.914482,1,-1.0
1,14:14:28.734854,14:14:38.170219,1,-1.0
1,14:14:28.734854,14:14:38.437606,1,-1.0
1,14:14:28.734854,14:14:38.669424,1,-1.0
1,14:14:28.734854,14:14:38.921885,1,-1.0
1,14:14:28.734854,14:14:39.269220,-1,-1.0
1,14:14:28.734854,14:14:39.607429,-1,-1.0
1,14:14:28.734854,14:14:39.992180,-1,-1.0
1,14:14:28.734854,14:14:40.375114,-1,-1.0
1,14:14:28.734854,14:14:40.719863,-1,-1.0
1,14:14:28.734854,14:14:41.058644,-1,-1.0
1,14:14:28.734854,14:14:41.760051,1,-1.0
1,14:14:28.734854,14:14:42.427408,-1,-1.0
1,14:14:28.734854,14:14:43.126863,-1,-1.0
1,14:14:28.734854,14:14:43.672703,1,-1.0
1,14:14:28.734854,14:14:44.058066,-1,-1.0
1,14:14:28.734854,14:14:45.156527,-1,-1.0
1,14:14:28.734854,14:14:45.617241,1,-1.0
1,14:14:28.734854,14:14:46.092943,-1,-1.0
1,14:14:28.734854,14:14:46.731281,-1,-1.0
1,14:14:28.734854,14:14:47.370800,-1,-1.0
1,14:14:28.734854,14:14:48.011362,-1,-1.0
1,14:14:28.734854,14:14:48.796828,-1,-1.0
