Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:58:22.807040,14:58:25.060057,1,-1.0
1,14:58:22.807040,14:58:27.176156,1,-1.0
1,14:58:22.807040,14:58:29.120397,1,-1.0
1,14:58:22.807040,14:58:35.966036,-1,-1.0
1,14:58:22.807040,14:58:39.491726,-1,-1.0
1,14:58:22.807040,14:58:42.354358,-1,-1.0
1,14:58:22.807040,14:58:45.275894,-1,-1.0
1,14:58:22.807040,14:58:46.181739,1,-1.0
1,14:58:22.807040,14:58:50.153161,1,-1.0
1,14:58:22.807040,14:58:51.981824,-1,-1.0
1,14:58:22.807040,14:58:54.648976,-1,-1.0
1,14:58:22.807040,14:58:55.879826,1,-1.0
1,14:58:22.807040,14:58:56.614273,1,-1.0
1,14:58:22.807040,14:58:56.949050,1,-1.0
1,14:58:22.807040,14:58:57.222774,1,-1.0
1,14:58:22.807040,14:58:57.492812,1,-1.0
1,14:58:22.807040,14:59:04.054902,1,-1.0
1,14:58:22.807040,14:59:07.900780,-1,-1.0
1,14:58:22.807040,14:59:09.132762,-1,-1.0
1,14:58:22.807040,14:59:10.555238,1,-1.0
1,14:58:22.807040,14:59:11.115855,1,-1.0
1,14:58:22.807040,14:59:11.459075,1,-1.0
1,14:58:22.807040,14:59:11.705134,1,-1.0
1,14:58:22.807040,14:59:11.941653,1,-1.0
1,14:58:22.807040,14:59:12.178154,1,-1.0
1,14:58:22.807040,14:59:12.423851,1,-1.0
1,14:58:22.807040,14:59:12.639134,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:59:20.042526,14:59:28.209588,1,-1.0
2,14:59:20.042526,14:59:33.680883,1,-1.0
2,14:59:20.042526,14:59:34.812761,1,-1.0
2,14:59:20.042526,14:59:38.586294,1,-1.0
2,14:59:20.042526,14:59:39.770690,1,-1.0
2,14:59:20.042526,14:59:43.385841,1,-1.0
2,14:59:20.042526,14:59:43.682277,1,-1.0
2,14:59:20.042526,14:59:43.896363,1,-1.0
2,14:59:20.042526,14:59:44.102720,1,-1.0
2,14:59:20.042526,14:59:44.545843,1,-1.0
2,14:59:20.042526,14:59:44.759939,1,-1.0
2,14:59:20.042526,14:59:44.964314,1,-1.0
2,14:59:20.042526,14:59:45.178371,1,-1.0
2,14:59:20.042526,14:59:45.414429,1,-1.0
2,14:59:20.042526,14:59:45.637861,1,-1.0
2,14:59:20.042526,14:59:45.848796,1,-1.0
2,14:59:20.042526,14:59:46.070687,1,-1.0
2,14:59:20.042526,14:59:46.294123,1,-1.0
2,14:59:20.042526,14:59:46.510605,1,-1.0
2,14:59:20.042526,14:59:46.735735,1,-1.0
2,14:59:20.042526,14:59:46.969420,1,-1.0
2,14:59:20.042526,14:59:47.181755,1,-1.0
2,14:59:20.042526,14:59:47.404414,1,-1.0
2,14:59:20.042526,14:59:47.598081,1,-1.0
2,14:59:20.042526,14:59:47.795320,1,-1.0
2,14:59:20.042526,14:59:47.988662,1,-1.0
2,14:59:20.042526,14:59:48.733490,1,-1.0
2,14:59:20.042526,14:59:48.957949,1,-1.0
2,14:59:20.042526,14:59:49.163616,1,-1.0
2,14:59:20.042526,14:59:49.366772,1,-1.0
2,14:59:20.042526,14:59:49.578104,1,-1.0
2,14:59:20.042526,14:59:49.789935,1,-1.0
2,14:59:20.042526,14:59:49.973061,1,-1.0
2,14:59:20.042526,14:59:50.167084,1,-1.0
