Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,23:50:00.199850,23:50:07.567544,-1,-1.0
2,23:50:00.199850,23:50:08.284406,-1,-1.0
2,23:50:00.199850,23:50:24.905718,1,-1.0
2,23:50:00.199850,23:50:25.958900,1,-1.0
2,23:50:00.199850,23:50:26.968954,-1,-1.0
2,23:50:00.199850,23:50:31.969953,-1,-1.0
2,23:50:00.199850,23:50:33.490492,-1,-1.0
2,23:50:00.199850,23:50:33.966596,-1,-1.0
2,23:50:00.199850,23:50:39.653478,-1,-1.0
2,23:50:00.199850,23:50:40.138143,-1,-1.0
2,23:50:00.199850,23:50:41.093124,-1,-1.0
2,23:50:00.199850,23:50:42.013537,-1,-1.0
2,23:50:00.199850,23:50:57.524696,-1,-1.0
