Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:41:34.994292,19:41:48.702070,1,-1.0
1,19:41:34.994292,19:41:49.213088,1,-1.0
1,19:41:34.994292,19:41:49.393952,1,-1.0
1,19:41:34.994292,19:41:49.797577,1,-1.0
1,19:41:34.994292,19:41:50.094252,1,-1.0
1,19:41:34.994292,19:41:50.269870,1,-1.0
1,19:41:34.994292,19:41:50.460792,1,-1.0
1,19:41:34.994292,19:41:50.632462,1,-1.0
1,19:41:34.994292,19:41:50.807142,1,-1.0
1,19:41:34.994292,19:41:50.988681,1,-1.0
1,19:41:34.994292,19:41:51.201002,1,-1.0
1,19:41:34.994292,19:41:51.405480,1,-1.0
1,19:41:34.994292,19:41:51.598623,1,-1.0
1,19:41:34.994292,19:41:52.003258,1,-1.0
1,19:41:34.994292,19:41:52.214084,1,-1.0
1,19:41:34.994292,19:41:52.405364,1,-1.0
1,19:41:34.994292,19:41:52.596153,1,-1.0
1,19:41:34.994292,19:41:52.807670,1,-1.0
1,19:41:34.994292,19:41:52.997477,1,-1.0
1,19:41:34.994292,19:41:53.583573,1,-1.0
1,19:41:34.994292,19:41:54.230845,1,-1.0
1,19:41:34.994292,19:41:55.136666,1,-1.0
1,19:41:34.994292,19:41:55.293535,1,-1.0
1,19:41:34.994292,19:41:56.014230,1,-1.0
