Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:29:21.236591,19:29:22.151002,1,-1.0
1,19:29:21.236591,19:29:22.304334,1,-1.0
1,19:29:21.236591,19:29:22.449255,1,-1.0
1,19:29:21.236591,19:29:22.580604,1,-1.0
1,19:29:21.236591,19:29:22.724177,1,-1.0
1,19:29:21.236591,19:29:22.865815,1,-1.0
1,19:29:21.236591,19:29:22.993952,1,-1.0
1,19:29:21.236591,19:29:23.132715,1,-1.0
1,19:29:21.236591,19:29:23.253858,1,-1.0
1,19:29:21.236591,19:29:23.502196,1,-1.0
1,19:29:21.236591,19:29:23.632975,1,-1.0
1,19:29:21.236591,19:29:23.749377,1,-1.0
1,19:29:21.236591,19:29:23.881725,1,-1.0
1,19:29:21.236591,19:29:24.019290,1,-1.0
1,19:29:21.236591,19:29:24.162167,1,-1.0
1,19:29:21.236591,19:29:24.291398,1,-1.0
1,19:29:21.236591,19:29:24.439767,1,-1.0
1,19:29:21.236591,19:29:24.579257,1,-1.0
1,19:29:21.236591,19:29:24.724320,1,-1.0
1,19:29:21.236591,19:29:24.859584,1,-1.0
1,19:29:21.236591,19:29:25.008315,1,-1.0
1,19:29:21.236591,19:29:25.145486,1,-1.0
1,19:29:21.236591,19:29:25.282348,1,-1.0
1,19:29:21.236591,19:29:25.414645,1,-1.0
1,19:29:21.236591,19:29:25.545506,1,-1.0
1,19:29:21.236591,19:29:25.679068,1,-1.0
1,19:29:21.236591,19:29:25.827321,1,-1.0
1,19:29:21.236591,19:29:25.987449,1,-1.0
1,19:29:21.236591,19:29:26.132396,1,-1.0
1,19:29:21.236591,19:29:26.290025,1,-1.0
1,19:29:21.236591,19:29:26.436970,1,-1.0
1,19:29:21.236591,19:29:26.589913,1,-1.0
1,19:29:21.236591,19:29:26.728407,1,-1.0
1,19:29:21.236591,19:29:26.875009,1,-1.0
1,19:29:21.236591,19:29:27.027108,1,-1.0
1,19:29:21.236591,19:29:27.145266,1,-1.0
1,19:29:21.236591,19:29:27.216296,-1,-1.0
1,19:29:21.236591,19:29:27.398510,-1,-1.0
1,19:29:21.236591,19:29:27.564784,-1,-1.0
1,19:29:21.236591,19:29:27.765349,-1,-1.0
1,19:29:21.236591,19:29:28.102467,-1,-1.0
1,19:29:21.236591,19:29:28.299706,-1,-1.0
1,19:29:21.236591,19:29:28.607596,-1,-1.0
1,19:29:21.236591,19:29:28.785356,-1,-1.0
1,19:29:21.236591,19:29:29.005528,-1,-1.0
1,19:29:21.236591,19:29:29.239668,-1,-1.0
1,19:29:21.236591,19:29:29.476276,-1,-1.0
1,19:29:21.236591,19:29:29.844850,1,-1.0
1,19:29:21.236591,19:29:29.986428,1,-1.0
1,19:29:21.236591,19:29:30.115309,1,-1.0
1,19:29:21.236591,19:29:30.257276,1,-1.0
1,19:29:21.236591,19:29:30.399699,1,-1.0
1,19:29:21.236591,19:29:30.536620,1,-1.0
1,19:29:21.236591,19:29:30.660896,1,-1.0
1,19:29:21.236591,19:29:30.836924,1,-1.0
1,19:29:21.236591,19:29:30.976239,1,-1.0
1,19:29:21.236591,19:29:31.105218,1,-1.0
1,19:29:21.236591,19:29:31.252472,1,-1.0
1,19:29:21.236591,19:29:31.395066,1,-1.0
1,19:29:21.236591,19:29:31.533560,1,-1.0
1,19:29:21.236591,19:29:31.663297,1,-1.0
1,19:29:21.236591,19:29:31.824317,1,-1.0
1,19:29:21.236591,19:29:31.964982,1,-1.0
1,19:29:21.236591,19:29:32.097033,1,-1.0
1,19:29:21.236591,19:29:32.244839,1,-1.0
1,19:29:21.236591,19:29:32.392270,1,-1.0
1,19:29:21.236591,19:29:32.536665,1,-1.0
1,19:29:21.236591,19:29:32.685084,1,-1.0
1,19:29:21.236591,19:29:32.848189,1,-1.0
1,19:29:21.236591,19:29:33.011282,1,-1.0
1,19:29:21.236591,19:29:33.152695,1,-1.0
1,19:29:21.236591,19:29:33.295169,1,-1.0
1,19:29:21.236591,19:29:33.454229,1,-1.0
1,19:29:21.236591,19:29:33.604186,1,-1.0
1,19:29:21.236591,19:29:33.777252,1,-1.0
1,19:29:21.236591,19:29:33.941213,1,-1.0
1,19:29:21.236591,19:29:34.079758,1,-1.0
1,19:29:21.236591,19:29:34.242075,1,-1.0
1,19:29:21.236591,19:29:34.406817,1,-1.0
1,19:29:21.236591,19:29:34.561814,1,-1.0
1,19:29:21.236591,19:29:34.720092,1,-1.0
1,19:29:21.236591,19:29:34.874303,1,-1.0
1,19:29:21.236591,19:29:35.009409,1,-1.0
1,19:29:21.236591,19:29:35.155736,1,-1.0
1,19:29:21.236591,19:29:35.336869,1,-1.0
1,19:29:21.236591,19:29:35.510484,1,-1.0
1,19:29:21.236591,19:29:35.673393,1,-1.0
1,19:29:21.236591,19:29:35.812995,1,-1.0
1,19:29:21.236591,19:29:35.981536,1,-1.0
1,19:29:21.236591,19:29:36.134078,1,-1.0
1,19:29:21.236591,19:29:36.255584,1,-1.0
1,19:29:21.236591,19:29:36.424565,1,-1.0
1,19:29:21.236591,19:29:36.577846,1,-1.0
1,19:29:21.236591,19:29:36.704043,1,-1.0
1,19:29:21.236591,19:29:36.858908,1,-1.0
1,19:29:21.236591,19:29:37.016221,1,-1.0
1,19:29:21.236591,19:29:37.160333,-1,-1.0
1,19:29:21.236591,19:29:37.335761,-1,-1.0
1,19:29:21.236591,19:29:37.535428,-1,-1.0
1,19:29:21.236591,19:29:37.786173,-1,-1.0
1,19:29:21.236591,19:29:37.997287,-1,-1.0
1,19:29:21.236591,19:29:38.183746,-1,-1.0
1,19:29:21.236591,19:29:38.378130,-1,-1.0
1,19:29:21.236591,19:29:38.561152,-1,-1.0
1,19:29:21.236591,19:29:38.768196,-1,-1.0
1,19:29:21.236591,19:29:38.965903,1,-1.0
1,19:29:21.236591,19:29:39.103004,1,-1.0
1,19:29:21.236591,19:29:39.380318,-1,-1.0
1,19:29:21.236591,19:29:39.576042,-1,-1.0
1,19:29:21.236591,19:29:39.826754,-1,-1.0
1,19:29:21.236591,19:29:40.276070,1,-1.0
1,19:29:21.236591,19:29:40.429476,1,-1.0
1,19:29:21.236591,19:29:40.584069,1,-1.0
1,19:29:21.236591,19:29:40.740010,1,-1.0
1,19:29:21.236591,19:29:40.908692,1,-1.0
1,19:29:21.236591,19:29:41.048033,1,-1.0
1,19:29:21.236591,19:29:41.200052,1,-1.0
1,19:29:21.236591,19:29:41.385040,1,-1.0
1,19:29:21.236591,19:29:41.535844,1,-1.0
1,19:29:21.236591,19:29:41.726045,1,-1.0
1,19:29:21.236591,19:29:41.877390,1,-1.0
1,19:29:21.236591,19:29:42.098418,1,-1.0
1,19:29:21.236591,19:29:42.274536,1,-1.0
1,19:29:21.236591,19:29:42.457851,1,-1.0
1,19:29:21.236591,19:29:42.642208,1,-1.0
1,19:29:21.236591,19:29:42.783302,1,-1.0
1,19:29:21.236591,19:29:42.992386,1,-1.0
1,19:29:21.236591,19:29:43.166715,1,-1.0
1,19:29:21.236591,19:29:43.547905,-1,-1.0
