Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:19:30.929717,16:19:42.225939,1,-1.0
1,16:19:30.929717,16:19:42.407144,1,-1.0
1,16:19:30.929717,16:19:42.602197,1,-1.0
1,16:19:30.929717,16:19:42.850069,1,-1.0
1,16:19:30.929717,16:19:43.062991,1,-1.0
1,16:19:30.929717,16:19:43.255272,1,-1.0
1,16:19:30.929717,16:19:43.636712,-1,-1.0
1,16:19:30.929717,16:19:43.847775,-1,-1.0
1,16:19:30.929717,16:19:44.071278,-1,-1.0
1,16:19:30.929717,16:19:44.369818,-1,-1.0
1,16:19:30.929717,16:19:44.608607,-1,-1.0
1,16:19:30.929717,16:19:45.148876,-1,-1.0
1,16:19:30.929717,16:19:45.406128,1,-1.0
1,16:19:30.929717,16:19:45.710163,1,-1.0
1,16:19:30.929717,16:19:45.874567,1,-1.0
1,16:19:30.929717,16:19:46.109712,1,-1.0
1,16:19:30.929717,16:19:46.344089,1,-1.0
1,16:19:30.929717,16:19:46.560195,1,-1.0
1,16:19:30.929717,16:19:46.786823,1,-1.0
1,16:19:30.929717,16:19:47.030938,1,-1.0
1,16:19:30.929717,16:19:47.254668,1,-1.0
1,16:19:30.929717,16:19:47.493526,1,-1.0
1,16:19:30.929717,16:19:47.697270,1,-1.0
1,16:19:30.929717,16:19:47.923978,1,-1.0
1,16:19:30.929717,16:19:48.135584,1,-1.0
1,16:19:30.929717,16:19:48.346005,1,-1.0
1,16:19:30.929717,16:19:48.553064,1,-1.0
1,16:19:30.929717,16:19:48.765771,1,-1.0
1,16:19:30.929717,16:19:48.965614,1,-1.0
1,16:19:30.929717,16:19:49.190429,1,-1.0
1,16:19:30.929717,16:19:49.428459,1,-1.0
1,16:19:30.929717,16:19:49.653847,1,-1.0
1,16:19:30.929717,16:19:49.877950,1,-1.0
1,16:19:30.929717,16:19:50.104876,1,-1.0
1,16:19:30.929717,16:19:50.314566,1,-1.0
1,16:19:30.929717,16:19:50.529820,1,-1.0
1,16:19:30.929717,16:19:50.744145,1,-1.0
1,16:19:30.929717,16:19:50.979586,1,-1.0
1,16:19:30.929717,16:19:51.187407,1,-1.0
1,16:19:30.929717,16:19:51.427667,1,-1.0
1,16:19:30.929717,16:19:51.646710,1,-1.0
1,16:19:30.929717,16:19:51.847928,1,-1.0
1,16:19:30.929717,16:19:52.081305,1,-1.0
1,16:19:30.929717,16:19:52.285953,1,-1.0
1,16:19:30.929717,16:19:52.769693,-1,-1.0
1,16:19:30.929717,16:19:53.204966,-1,-1.0
1,16:19:30.929717,16:19:54.006838,-1,-1.0
1,16:19:30.929717,16:19:54.321562,-1,-1.0
1,16:19:30.929717,16:19:54.561532,-1,-1.0
1,16:19:30.929717,16:19:54.864523,-1,-1.0
1,16:19:30.929717,16:19:55.145683,-1,-1.0
1,16:19:30.929717,16:19:55.458377,-1,-1.0
1,16:19:30.929717,16:19:55.961570,1,-1.0
1,16:19:30.929717,16:19:56.200036,1,-1.0
1,16:19:30.929717,16:19:56.405161,1,-1.0
1,16:19:30.929717,16:19:56.680794,1,-1.0
1,16:19:30.929717,16:19:57.088565,1,-1.0
1,16:19:30.929717,16:19:57.364739,1,-1.0
1,16:19:30.929717,16:19:57.614601,1,-1.0
1,16:19:30.929717,16:19:57.804075,1,-1.0
1,16:19:30.929717,16:19:58.045488,1,-1.0
1,16:19:30.929717,16:19:58.277323,1,-1.0
1,16:19:30.929717,16:19:58.525401,1,-1.0
1,16:19:30.929717,16:19:58.767893,1,-1.0
1,16:19:30.929717,16:19:58.974985,1,-1.0
1,16:19:30.929717,16:19:59.214385,1,-1.0
1,16:19:30.929717,16:19:59.436801,1,-1.0
1,16:19:30.929717,16:19:59.918709,1,-1.0
1,16:19:30.929717,16:20:00.164013,1,-1.0
1,16:19:30.929717,16:20:00.464371,1,-1.0
1,16:19:30.929717,16:20:00.824949,-1,-1.0
1,16:19:30.929717,16:20:01.076118,-1,-1.0
1,16:19:30.929717,16:20:01.358808,-1,-1.0
1,16:19:30.929717,16:20:01.938006,1,-1.0
1,16:19:30.929717,16:20:02.182956,1,-1.0
1,16:19:30.929717,16:20:02.394458,1,-1.0
1,16:19:30.929717,16:20:02.657442,1,-1.0
1,16:19:30.929717,16:20:02.922897,1,-1.0
1,16:19:30.929717,16:20:03.228024,1,-1.0
1,16:19:30.929717,16:20:03.507727,1,-1.0
1,16:19:30.929717,16:20:03.775475,1,-1.0
1,16:19:30.929717,16:20:04.021042,1,-1.0
1,16:19:30.929717,16:20:04.236379,1,-1.0
1,16:19:30.929717,16:20:04.453030,1,-1.0
1,16:19:30.929717,16:20:04.699640,1,-1.0
1,16:19:30.929717,16:20:04.946386,1,-1.0
1,16:19:30.929717,16:20:05.190619,1,-1.0
1,16:19:30.929717,16:20:05.415775,1,-1.0
1,16:19:30.929717,16:20:05.633425,1,-1.0
1,16:19:30.929717,16:20:05.947266,1,-1.0
1,16:19:30.929717,16:20:06.188556,1,-1.0
1,16:19:30.929717,16:20:06.448091,1,-1.0
1,16:19:30.929717,16:20:06.759519,1,-1.0
1,16:19:30.929717,16:20:06.976622,1,-1.0
1,16:19:30.929717,16:20:07.264397,1,-1.0
1,16:19:30.929717,16:20:07.519899,1,-1.0
1,16:19:30.929717,16:20:07.781915,1,-1.0
1,16:19:30.929717,16:20:08.047705,1,-1.0
1,16:19:30.929717,16:20:08.321830,1,-1.0
1,16:19:30.929717,16:20:08.613615,1,-1.0
1,16:19:30.929717,16:20:08.922046,1,-1.0
1,16:19:30.929717,16:20:09.213635,1,-1.0
1,16:19:30.929717,16:20:09.507897,1,-1.0
1,16:19:30.929717,16:20:09.797518,1,-1.0
1,16:19:30.929717,16:20:10.064308,1,-1.0
1,16:19:30.929717,16:20:10.359502,1,-1.0
1,16:19:30.929717,16:20:10.684644,1,-1.0
1,16:19:30.929717,16:20:10.972421,1,-1.0
1,16:19:30.929717,16:20:11.286806,1,-1.0
1,16:19:30.929717,16:20:11.606477,1,-1.0
1,16:19:30.929717,16:20:11.851201,1,-1.0
1,16:19:30.929717,16:20:12.137191,1,-1.0
1,16:19:30.929717,16:20:12.411113,1,-1.0
1,16:19:30.929717,16:20:12.678970,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:20:12.992133,16:20:13.471176,-1,-1.0
2,16:20:12.992133,16:20:13.741151,-1,-1.0
2,16:20:12.992133,16:20:14.117728,-1,-1.0
2,16:20:12.992133,16:20:14.419705,1,-1.0
2,16:20:12.992133,16:20:14.644450,1,-1.0
2,16:20:12.992133,16:20:14.885031,1,-1.0
2,16:20:12.992133,16:20:15.105799,1,-1.0
2,16:20:12.992133,16:20:15.353847,1,-1.0
2,16:20:12.992133,16:20:15.584836,1,-1.0
2,16:20:12.992133,16:20:15.828488,1,-1.0
2,16:20:12.992133,16:20:16.079511,1,-1.0
2,16:20:12.992133,16:20:16.293942,1,-1.0
2,16:20:12.992133,16:20:16.533633,1,-1.0
2,16:20:12.992133,16:20:16.787987,1,-1.0
2,16:20:12.992133,16:20:17.071524,1,-1.0
2,16:20:12.992133,16:20:17.319287,1,-1.0
2,16:20:12.992133,16:20:17.576564,1,-1.0
2,16:20:12.992133,16:20:17.857953,1,-1.0
2,16:20:12.992133,16:20:18.112011,1,-1.0
2,16:20:12.992133,16:20:18.350410,1,-1.0
2,16:20:12.992133,16:20:18.568144,1,-1.0
2,16:20:12.992133,16:20:18.806235,1,-1.0
2,16:20:12.992133,16:20:19.143004,1,-1.0
2,16:20:12.992133,16:20:19.385800,1,-1.0
2,16:20:12.992133,16:20:19.630432,1,-1.0
2,16:20:12.992133,16:20:19.881719,1,-1.0
2,16:20:12.992133,16:20:20.167190,1,-1.0
2,16:20:12.992133,16:20:20.458936,1,-1.0
2,16:20:12.992133,16:20:20.711315,1,-1.0
2,16:20:12.992133,16:20:20.938571,1,-1.0
2,16:20:12.992133,16:20:21.218755,1,-1.0
2,16:20:12.992133,16:20:21.594948,-1,-1.0
2,16:20:12.992133,16:20:22.203105,-1,-1.0
2,16:20:12.992133,16:20:22.588804,-1,-1.0
2,16:20:12.992133,16:20:23.374173,-1,-1.0
2,16:20:12.992133,16:20:23.873019,-1,-1.0
2,16:20:12.992133,16:20:24.440127,1,-1.0
2,16:20:12.992133,16:20:24.706044,1,-1.0
2,16:20:12.992133,16:20:24.957538,1,-1.0
2,16:20:12.992133,16:20:25.215141,1,-1.0
2,16:20:12.992133,16:20:25.452438,1,-1.0
2,16:20:12.992133,16:20:25.727355,1,-1.0
2,16:20:12.992133,16:20:26.009561,1,-1.0
2,16:20:12.992133,16:20:26.285477,1,-1.0
2,16:20:12.992133,16:20:26.526658,1,-1.0
2,16:20:12.992133,16:20:26.775340,1,-1.0
2,16:20:12.992133,16:20:27.044699,1,-1.0
2,16:20:12.992133,16:20:27.279283,1,-1.0
2,16:20:12.992133,16:20:27.631215,1,-1.0
2,16:20:12.992133,16:20:27.903495,1,-1.0
2,16:20:12.992133,16:20:28.149871,1,-1.0
2,16:20:12.992133,16:20:28.379329,1,-1.0
2,16:20:12.992133,16:20:28.624964,1,-1.0
2,16:20:12.992133,16:20:28.882099,1,-1.0
2,16:20:12.992133,16:20:29.144156,1,-1.0
2,16:20:12.992133,16:20:29.413104,1,-1.0
2,16:20:12.992133,16:20:29.660820,1,-1.0
2,16:20:12.992133,16:20:30.281029,-1,-1.0
2,16:20:12.992133,16:20:30.490815,-1,-1.0
2,16:20:12.992133,16:20:31.107153,1,-1.0
2,16:20:12.992133,16:20:31.397689,1,-1.0
2,16:20:12.992133,16:20:31.626596,1,-1.0
2,16:20:12.992133,16:20:31.912965,1,-1.0
2,16:20:12.992133,16:20:32.206073,1,-1.0
2,16:20:12.992133,16:20:32.469090,1,-1.0
2,16:20:12.992133,16:20:32.776814,1,-1.0
2,16:20:12.992133,16:20:33.260983,1,-1.0
2,16:20:12.992133,16:20:33.513559,1,-1.0
2,16:20:12.992133,16:20:33.723473,1,-1.0
2,16:20:12.992133,16:20:33.978117,1,-1.0
2,16:20:12.992133,16:20:34.244616,1,-1.0
2,16:20:12.992133,16:20:34.473084,1,-1.0
2,16:20:12.992133,16:20:34.729315,1,-1.0
2,16:20:12.992133,16:20:35.131213,1,-1.0
2,16:20:12.992133,16:20:35.371316,1,-1.0
2,16:20:12.992133,16:20:35.620408,1,-1.0
2,16:20:12.992133,16:20:35.879186,1,-1.0
2,16:20:12.992133,16:20:36.154833,1,-1.0
2,16:20:12.992133,16:20:36.384435,1,-1.0
2,16:20:12.992133,16:20:36.632436,1,-1.0
2,16:20:12.992133,16:20:36.873632,1,-1.0
2,16:20:12.992133,16:20:37.101545,1,-1.0
2,16:20:12.992133,16:20:37.397668,1,-1.0
2,16:20:12.992133,16:20:37.627099,1,-1.0
2,16:20:12.992133,16:20:37.907424,1,-1.0
2,16:20:12.992133,16:20:38.137954,1,-1.0
2,16:20:12.992133,16:20:38.356758,1,-1.0
2,16:20:12.992133,16:20:38.606602,1,-1.0
2,16:20:12.992133,16:20:38.868872,1,-1.0
2,16:20:12.992133,16:20:39.099125,1,-1.0
2,16:20:12.992133,16:20:39.345386,1,-1.0
2,16:20:12.992133,16:20:39.608803,1,-1.0
2,16:20:12.992133,16:20:39.819044,1,-1.0
2,16:20:12.992133,16:20:40.101760,1,-1.0
2,16:20:12.992133,16:20:40.325641,1,-1.0
2,16:20:12.992133,16:20:40.574222,1,-1.0
2,16:20:12.992133,16:20:40.836571,1,-1.0
2,16:20:12.992133,16:20:41.077019,1,-1.0
2,16:20:12.992133,16:20:41.325488,1,-1.0
2,16:20:12.992133,16:20:41.576899,1,-1.0
2,16:20:12.992133,16:20:41.844565,1,-1.0
2,16:20:12.992133,16:20:42.143200,1,-1.0
