Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:26:02.699865,10:26:03.391034,1,-1.0
1,10:26:02.699865,10:26:03.650293,1,-1.0
1,10:26:02.699865,10:26:03.866013,1,-1.0
1,10:26:02.699865,10:26:04.127271,1,-1.0
1,10:26:02.699865,10:26:04.405443,1,-1.0
1,10:26:02.699865,10:26:04.633075,1,-1.0
1,10:26:02.699865,10:26:04.865446,1,-1.0
1,10:26:02.699865,10:26:05.104389,1,-1.0
1,10:26:02.699865,10:26:05.333254,1,-1.0
1,10:26:02.699865,10:26:05.924530,-1,-1.0
1,10:26:02.699865,10:26:06.157915,-1,-1.0
1,10:26:02.699865,10:26:06.510446,-1,-1.0
1,10:26:02.699865,10:26:06.737776,-1,-1.0
1,10:26:02.699865,10:26:07.092073,-1,-1.0
1,10:26:02.699865,10:26:07.381112,-1,-1.0
1,10:26:02.699865,10:26:07.676039,-1,-1.0
1,10:26:02.699865,10:26:08.079501,1,-1.0
1,10:26:02.699865,10:26:08.315849,1,-1.0
1,10:26:02.699865,10:26:08.530273,1,-1.0
1,10:26:02.699865,10:26:08.756032,1,-1.0
1,10:26:02.699865,10:26:08.975275,1,-1.0
1,10:26:02.699865,10:26:09.183697,1,-1.0
1,10:26:02.699865,10:26:09.426803,1,-1.0
1,10:26:02.699865,10:26:09.649534,1,-1.0
1,10:26:02.699865,10:26:09.921790,1,-1.0
1,10:26:02.699865,10:26:10.149676,1,-1.0
1,10:26:02.699865,10:26:10.373257,1,-1.0
1,10:26:02.699865,10:26:10.590999,1,-1.0
1,10:26:02.699865,10:26:10.808289,1,-1.0
1,10:26:02.699865,10:26:11.056615,1,-1.0
1,10:26:02.699865,10:26:11.265525,1,-1.0
1,10:26:02.699865,10:26:11.509565,1,-1.0
1,10:26:02.699865,10:26:11.729421,1,-1.0
1,10:26:02.699865,10:26:11.984558,1,-1.0
1,10:26:02.699865,10:26:12.250941,1,-1.0
1,10:26:02.699865,10:26:12.489324,1,-1.0
1,10:26:02.699865,10:26:12.879690,-1,-1.0
1,10:26:02.699865,10:26:13.113062,-1,-1.0
1,10:26:02.699865,10:26:13.327493,-1,-1.0
1,10:26:02.699865,10:26:13.684766,-1,-1.0
1,10:26:02.699865,10:26:14.327723,-1,-1.0
1,10:26:02.699865,10:26:14.603355,-1,-1.0
1,10:26:02.699865,10:26:15.179528,1,-1.0
1,10:26:02.699865,10:26:15.418752,1,-1.0
1,10:26:02.699865,10:26:15.646465,1,-1.0
1,10:26:02.699865,10:26:15.884894,1,-1.0
1,10:26:02.699865,10:26:16.117236,1,-1.0
1,10:26:02.699865,10:26:16.343209,1,-1.0
1,10:26:02.699865,10:26:16.588911,1,-1.0
1,10:26:02.699865,10:26:16.812995,1,-1.0
1,10:26:02.699865,10:26:17.051473,1,-1.0
1,10:26:02.699865,10:26:17.285948,1,-1.0
1,10:26:02.699865,10:26:17.547107,1,-1.0
1,10:26:02.699865,10:26:17.766045,1,-1.0
1,10:26:02.699865,10:26:18.013927,1,-1.0
1,10:26:02.699865,10:26:18.249511,1,-1.0
1,10:26:02.699865,10:26:18.486943,1,-1.0
1,10:26:02.699865,10:26:18.764858,1,-1.0
1,10:26:02.699865,10:26:19.033664,1,-1.0
1,10:26:02.699865,10:26:19.294762,1,-1.0
1,10:26:02.699865,10:26:19.552345,1,-1.0
1,10:26:02.699865,10:26:19.801025,1,-1.0
1,10:26:02.699865,10:26:20.062224,1,-1.0
1,10:26:02.699865,10:26:20.406846,1,-1.0
1,10:26:02.699865,10:26:20.683445,1,-1.0
1,10:26:02.699865,10:26:20.939022,1,-1.0
1,10:26:02.699865,10:26:21.540669,-1,-1.0
1,10:26:02.699865,10:26:21.787302,-1,-1.0
1,10:26:02.699865,10:26:22.118011,-1,-1.0
1,10:26:02.699865,10:26:22.985942,1,-1.0
1,10:26:02.699865,10:26:23.402157,-1,-1.0
1,10:26:02.699865,10:26:23.890598,-1,-1.0
1,10:26:02.699865,10:26:24.368483,1,-1.0
1,10:26:02.699865,10:26:24.608299,1,-1.0
1,10:26:02.699865,10:26:24.832903,1,-1.0
1,10:26:02.699865,10:26:25.072421,1,-1.0
1,10:26:02.699865,10:26:25.326781,1,-1.0
1,10:26:02.699865,10:26:25.596159,1,-1.0
1,10:26:02.699865,10:26:25.829522,1,-1.0
1,10:26:02.699865,10:26:26.090717,1,-1.0
1,10:26:02.699865,10:26:26.377471,1,-1.0
1,10:26:02.699865,10:26:26.643870,1,-1.0
1,10:26:02.699865,10:26:26.856810,1,-1.0
1,10:26:02.699865,10:26:27.402999,1,-1.0
1,10:26:02.699865,10:26:27.547541,1,-1.0
1,10:26:02.699865,10:26:27.707017,1,-1.0
1,10:26:02.699865,10:26:27.862019,1,-1.0
1,10:26:02.699865,10:26:28.022254,1,-1.0
1,10:26:02.699865,10:26:28.184701,1,-1.0
1,10:26:02.699865,10:26:28.332031,1,-1.0
1,10:26:02.699865,10:26:28.502348,1,-1.0
1,10:26:02.699865,10:26:28.638497,1,-1.0
1,10:26:02.699865,10:26:28.794828,1,-1.0
1,10:26:02.699865,10:26:29.111532,1,-1.0
1,10:26:02.699865,10:26:29.260250,1,-1.0
1,10:26:02.699865,10:26:29.490897,1,-1.0
1,10:26:02.699865,10:26:29.655547,1,-1.0
1,10:26:02.699865,10:26:30.264882,1,-1.0
1,10:26:02.699865,10:26:30.731561,1,-1.0
1,10:26:02.699865,10:26:30.903043,1,-1.0
1,10:26:02.699865,10:26:31.060473,1,-1.0
1,10:26:02.699865,10:26:31.253651,1,-1.0
1,10:26:02.699865,10:26:31.413025,1,-1.0
1,10:26:02.699865,10:26:31.682335,1,-1.0
1,10:26:02.699865,10:26:31.874932,1,-1.0
1,10:26:02.699865,10:26:32.060803,1,-1.0
1,10:26:02.699865,10:26:32.246117,1,-1.0
