Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:26:36.436874,17:26:41.491929,1,-1.0
1,17:26:36.436874,17:26:41.658526,1,-1.0
1,17:26:36.436874,17:26:41.806136,1,-1.0
1,17:26:36.436874,17:26:41.968233,1,-1.0
1,17:26:36.436874,17:26:42.132188,1,-1.0
1,17:26:36.436874,17:26:42.291458,1,-1.0
1,17:26:36.436874,17:26:42.460067,1,-1.0
1,17:26:36.436874,17:26:42.612434,1,-1.0
1,17:26:36.436874,17:26:42.776180,1,-1.0
1,17:26:36.436874,17:26:42.944063,1,-1.0
1,17:26:36.436874,17:26:43.105573,1,-1.0
1,17:26:36.436874,17:26:43.264425,1,-1.0
1,17:26:36.436874,17:26:43.661868,1,-1.0
1,17:26:36.436874,17:26:44.471527,-1,-1.0
1,17:26:36.436874,17:26:44.627775,-1,-1.0
1,17:26:36.436874,17:26:45.030234,-1,-1.0
1,17:26:36.436874,17:26:45.220546,-1,-1.0
1,17:26:36.436874,17:26:45.385070,-1,-1.0
1,17:26:36.436874,17:26:45.608184,-1,-1.0
1,17:26:36.436874,17:26:46.356472,-1,-1.0
1,17:26:36.436874,17:26:46.584932,1,-1.0
1,17:26:36.436874,17:26:46.947792,1,-1.0
1,17:26:36.436874,17:26:47.124873,1,-1.0
1,17:26:36.436874,17:26:47.277626,1,-1.0
1,17:26:36.436874,17:26:47.461126,1,-1.0
1,17:26:36.436874,17:26:47.599553,1,-1.0
1,17:26:36.436874,17:26:47.770400,1,-1.0
1,17:26:36.436874,17:26:47.922803,1,-1.0
1,17:26:36.436874,17:26:48.079559,1,-1.0
1,17:26:36.436874,17:26:48.279955,1,-1.0
1,17:26:36.436874,17:26:48.432883,1,-1.0
1,17:26:36.436874,17:26:48.606241,1,-1.0
1,17:26:36.436874,17:26:48.773160,1,-1.0
1,17:26:36.436874,17:26:48.931269,1,-1.0
1,17:26:36.436874,17:26:49.103161,1,-1.0
1,17:26:36.436874,17:26:49.243944,1,-1.0
1,17:26:36.436874,17:26:49.410988,1,-1.0
1,17:26:36.436874,17:26:49.569355,1,-1.0
1,17:26:36.436874,17:26:49.734264,1,-1.0
1,17:26:36.436874,17:26:49.881663,1,-1.0
1,17:26:36.436874,17:26:50.063298,1,-1.0
1,17:26:36.436874,17:26:50.372679,1,-1.0
1,17:26:36.436874,17:26:50.527108,1,-1.0
1,17:26:36.436874,17:26:50.722294,1,-1.0
1,17:26:36.436874,17:26:50.905595,1,-1.0
1,17:26:36.436874,17:26:51.106241,1,-1.0
1,17:26:36.436874,17:26:51.302500,1,-1.0
1,17:26:36.436874,17:26:51.490261,1,-1.0
1,17:26:36.436874,17:26:51.656612,1,-1.0
1,17:26:36.436874,17:26:51.812162,1,-1.0
1,17:26:36.436874,17:26:51.989701,1,-1.0
1,17:26:36.436874,17:26:52.187041,1,-1.0
1,17:26:36.436874,17:26:52.401004,1,-1.0
1,17:26:36.436874,17:26:52.636733,1,-1.0
1,17:26:36.436874,17:26:52.815069,1,-1.0
1,17:26:36.436874,17:26:52.983507,1,-1.0
1,17:26:36.436874,17:26:53.161250,1,-1.0
1,17:26:36.436874,17:26:53.300736,1,-1.0
1,17:26:36.436874,17:26:53.502886,1,-1.0
1,17:26:36.436874,17:26:53.670045,1,-1.0
1,17:26:36.436874,17:26:53.852087,1,-1.0
1,17:26:36.436874,17:26:54.043264,1,-1.0
1,17:26:36.436874,17:26:54.195391,1,-1.0
1,17:26:36.436874,17:26:54.385442,1,-1.0
1,17:26:36.436874,17:26:54.595985,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,17:26:54.600453,17:26:55.502262,1,-1.0
2,17:26:54.600453,17:26:55.697153,1,-1.0
2,17:26:54.600453,17:26:55.860672,1,-1.0
2,17:26:54.600453,17:26:56.042455,1,-1.0
2,17:26:54.600453,17:26:56.238896,1,-1.0
2,17:26:54.600453,17:26:56.444570,1,-1.0
2,17:26:54.600453,17:26:56.755678,-1,-1.0
2,17:26:54.600453,17:26:56.964548,-1,-1.0
2,17:26:54.600453,17:26:57.144431,-1,-1.0
2,17:26:54.600453,17:26:57.356268,-1,-1.0
2,17:26:54.600453,17:26:57.536541,-1,-1.0
2,17:26:54.600453,17:26:57.766237,-1,-1.0
2,17:26:54.600453,17:26:58.049403,-1,-1.0
2,17:26:54.600453,17:26:58.274405,-1,-1.0
2,17:26:54.600453,17:26:58.659150,-1,-1.0
2,17:26:54.600453,17:26:59.358440,1,-1.0
2,17:26:54.600453,17:26:59.534362,1,-1.0
2,17:26:54.600453,17:26:59.704766,1,-1.0
2,17:26:54.600453,17:26:59.866228,1,-1.0
2,17:26:54.600453,17:27:00.058231,1,-1.0
2,17:26:54.600453,17:27:00.228501,1,-1.0
2,17:26:54.600453,17:27:00.415097,1,-1.0
2,17:26:54.600453,17:27:00.584485,1,-1.0
2,17:26:54.600453,17:27:00.764087,1,-1.0
2,17:26:54.600453,17:27:00.934860,1,-1.0
2,17:26:54.600453,17:27:01.108100,1,-1.0
2,17:26:54.600453,17:27:01.287876,1,-1.0
2,17:26:54.600453,17:27:01.427536,1,-1.0
2,17:26:54.600453,17:27:01.580440,1,-1.0
2,17:26:54.600453,17:27:01.787380,1,-1.0
2,17:26:54.600453,17:27:01.959682,1,-1.0
2,17:26:54.600453,17:27:02.125588,1,-1.0
2,17:26:54.600453,17:27:02.272623,1,-1.0
2,17:26:54.600453,17:27:02.613291,1,-1.0
2,17:26:54.600453,17:27:02.821627,1,-1.0
2,17:26:54.600453,17:27:02.993816,1,-1.0
2,17:26:54.600453,17:27:03.184161,1,-1.0
2,17:26:54.600453,17:27:03.347032,1,-1.0
2,17:26:54.600453,17:27:03.557664,1,-1.0
2,17:26:54.600453,17:27:03.754757,1,-1.0
2,17:26:54.600453,17:27:04.037388,-1,-1.0
2,17:26:54.600453,17:27:04.705647,-1,-1.0
2,17:26:54.600453,17:27:04.998805,-1,-1.0
2,17:26:54.600453,17:27:05.600749,1,-1.0
2,17:26:54.600453,17:27:05.805154,1,-1.0
2,17:26:54.600453,17:27:06.173925,1,-1.0
2,17:26:54.600453,17:27:06.341464,1,-1.0
2,17:26:54.600453,17:27:06.570632,1,-1.0
2,17:26:54.600453,17:27:06.784341,1,-1.0
2,17:26:54.600453,17:27:07.023347,1,-1.0
2,17:26:54.600453,17:27:07.190200,1,-1.0
2,17:26:54.600453,17:27:07.400115,1,-1.0
2,17:26:54.600453,17:27:07.591748,1,-1.0
2,17:26:54.600453,17:27:07.768970,1,-1.0
2,17:26:54.600453,17:27:07.963930,1,-1.0
2,17:26:54.600453,17:27:08.124923,1,-1.0
2,17:26:54.600453,17:27:08.316534,1,-1.0
2,17:26:54.600453,17:27:08.467972,1,-1.0
2,17:26:54.600453,17:27:08.657589,1,-1.0
2,17:26:54.600453,17:27:08.825367,1,-1.0
2,17:26:54.600453,17:27:08.996410,1,-1.0
2,17:26:54.600453,17:27:09.162659,1,-1.0
2,17:26:54.600453,17:27:09.340933,1,-1.0
2,17:26:54.600453,17:27:09.494646,1,-1.0
2,17:26:54.600453,17:27:09.669145,1,-1.0
2,17:26:54.600453,17:27:09.842617,1,-1.0
2,17:26:54.600453,17:27:10.033027,1,-1.0
2,17:26:54.600453,17:27:10.194173,1,-1.0
2,17:26:54.600453,17:27:10.383061,1,-1.0
2,17:26:54.600453,17:27:10.572279,1,-1.0
2,17:26:54.600453,17:27:10.779671,1,-1.0
2,17:26:54.600453,17:27:11.092318,1,-1.0
2,17:26:54.600453,17:27:11.269065,1,-1.0
2,17:26:54.600453,17:27:11.460619,1,-1.0
2,17:26:54.600453,17:27:11.642476,1,-1.0
2,17:26:54.600453,17:27:11.827458,1,-1.0
2,17:26:54.600453,17:27:12.012548,1,-1.0
2,17:26:54.600453,17:27:12.183685,1,-1.0
2,17:26:54.600453,17:27:12.358768,1,-1.0
2,17:26:54.600453,17:27:12.514552,1,-1.0
2,17:26:54.600453,17:27:12.692928,1,-1.0
2,17:26:54.600453,17:27:12.868484,1,-1.0
2,17:26:54.600453,17:27:13.032239,1,-1.0
2,17:26:54.600453,17:27:13.210314,1,-1.0
2,17:26:54.600453,17:27:13.380995,1,-1.0
2,17:26:54.600453,17:27:13.574790,1,-1.0
2,17:26:54.600453,17:27:13.747372,1,-1.0
