Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:21:08.960675,11:21:09.210051,-1,-1.0
1,11:21:08.960675,11:21:09.393156,-1,-1.0
1,11:21:08.960675,11:21:09.656512,-1,-1.0
1,11:21:08.960675,11:21:09.848286,1,-1.0
1,11:21:08.960675,11:21:10.032202,1,-1.0
1,11:21:08.960675,11:21:10.217071,1,-1.0
1,11:21:08.960675,11:21:10.401986,1,-1.0
1,11:21:08.960675,11:21:10.574999,1,-1.0
1,11:21:08.960675,11:21:10.757696,1,-1.0
1,11:21:08.960675,11:21:10.934667,1,-1.0
1,11:21:08.960675,11:21:11.105667,1,-1.0
1,11:21:08.960675,11:21:11.295824,1,-1.0
1,11:21:08.960675,11:21:11.488805,1,-1.0
1,11:21:08.960675,11:21:11.717327,1,-1.0
1,11:21:08.960675,11:21:11.902047,1,-1.0
1,11:21:08.960675,11:21:12.083641,1,-1.0
1,11:21:08.960675,11:21:12.263391,1,-1.0
1,11:21:08.960675,11:21:12.447589,1,-1.0
1,11:21:08.960675,11:21:12.620649,1,-1.0
1,11:21:08.960675,11:21:12.804100,1,-1.0
1,11:21:08.960675,11:21:12.985643,1,-1.0
1,11:21:08.960675,11:21:13.160601,1,-1.0
1,11:21:08.960675,11:21:13.379968,1,-1.0
1,11:21:08.960675,11:21:13.562432,1,-1.0
1,11:21:08.960675,11:21:13.755755,1,-1.0
1,11:21:08.960675,11:21:13.928677,1,-1.0
1,11:21:08.960675,11:21:14.109045,1,-1.0
1,11:21:08.960675,11:21:14.291087,1,-1.0
1,11:21:08.960675,11:21:14.475895,1,-1.0
1,11:21:08.960675,11:21:14.667959,1,-1.0
1,11:21:08.960675,11:21:14.859809,1,-1.0
1,11:21:08.960675,11:21:15.044585,1,-1.0
1,11:21:08.960675,11:21:15.237187,1,-1.0
1,11:21:08.960675,11:21:15.430416,1,-1.0
1,11:21:08.960675,11:21:15.616550,1,-1.0
1,11:21:08.960675,11:21:15.829606,1,-1.0
1,11:21:08.960675,11:21:15.981400,1,-1.0
1,11:21:08.960675,11:21:16.175306,1,-1.0
1,11:21:08.960675,11:21:16.570201,-1,-1.0
1,11:21:08.960675,11:21:16.627299,-1,-1.0
1,11:21:08.960675,11:21:16.748197,-1,-1.0
1,11:21:08.960675,11:21:16.931600,-1,-1.0
1,11:21:08.960675,11:21:17.115260,-1,-1.0
1,11:21:08.960675,11:21:17.309083,-1,-1.0
1,11:21:08.960675,11:21:17.482153,-1,-1.0
1,11:21:08.960675,11:21:17.675790,-1,-1.0
1,11:21:08.960675,11:21:17.882636,-1,-1.0
1,11:21:08.960675,11:21:18.055742,-1,-1.0
1,11:21:08.960675,11:21:18.249924,-1,-1.0
1,11:21:08.960675,11:21:18.456247,1,-1.0
1,11:21:08.960675,11:21:18.648437,1,-1.0
1,11:21:08.960675,11:21:18.852040,1,-1.0
1,11:21:08.960675,11:21:19.066014,1,-1.0
1,11:21:08.960675,11:21:19.253041,1,-1.0
1,11:21:08.960675,11:21:19.447505,1,-1.0
1,11:21:08.960675,11:21:19.629348,1,-1.0
1,11:21:08.960675,11:21:19.820728,1,-1.0
1,11:21:08.960675,11:21:20.055861,1,-1.0
1,11:21:08.960675,11:21:20.206015,1,-1.0
1,11:21:08.960675,11:21:20.410292,1,-1.0
1,11:21:08.960675,11:21:20.603651,1,-1.0
1,11:21:08.960675,11:21:20.795042,1,-1.0
1,11:21:08.960675,11:21:20.989542,1,-1.0
1,11:21:08.960675,11:21:21.192236,1,-1.0
1,11:21:08.960675,11:21:21.488687,1,-1.0
1,11:21:08.960675,11:21:21.641449,1,-1.0
1,11:21:08.960675,11:21:21.792834,1,-1.0
1,11:21:08.960675,11:21:21.935710,1,-1.0
1,11:21:08.960675,11:21:22.042728,1,-1.0
1,11:21:08.960675,11:21:22.161657,1,-1.0
1,11:21:08.960675,11:21:22.270445,1,-1.0
1,11:21:08.960675,11:21:22.409948,1,-1.0
1,11:21:08.960675,11:21:22.540223,1,-1.0
1,11:21:08.960675,11:21:22.671369,1,-1.0
1,11:21:08.960675,11:21:22.801274,1,-1.0
1,11:21:08.960675,11:21:22.938788,1,-1.0
1,11:21:08.960675,11:21:23.059902,1,-1.0
1,11:21:08.960675,11:21:23.191306,1,-1.0
1,11:21:08.960675,11:21:23.323337,1,-1.0
1,11:21:08.960675,11:21:23.462526,1,-1.0
1,11:21:08.960675,11:21:23.602393,1,-1.0
1,11:21:08.960675,11:21:23.744494,1,-1.0
1,11:21:08.960675,11:21:23.878944,1,-1.0
1,11:21:08.960675,11:21:24.028156,1,-1.0
1,11:21:08.960675,11:21:24.169470,1,-1.0
1,11:21:08.960675,11:21:24.319565,1,-1.0
1,11:21:08.960675,11:21:24.441434,1,-1.0
1,11:21:08.960675,11:21:24.520536,1,-1.0
1,11:21:08.960675,11:21:24.651201,1,-1.0
1,11:21:08.960675,11:21:24.760928,1,-1.0
1,11:21:08.960675,11:21:24.880684,1,-1.0
1,11:21:08.960675,11:21:25.031714,1,-1.0
1,11:21:08.960675,11:21:25.173777,1,-1.0
1,11:21:08.960675,11:21:25.307455,1,-1.0
1,11:21:08.960675,11:21:25.437090,1,-1.0
1,11:21:08.960675,11:21:25.588454,1,-1.0
1,11:21:08.960675,11:21:25.730139,1,-1.0
1,11:21:08.960675,11:21:25.874459,1,-1.0
1,11:21:08.960675,11:21:26.012690,1,-1.0
1,11:21:08.960675,11:21:26.153149,1,-1.0
1,11:21:08.960675,11:21:26.311037,1,-1.0
1,11:21:08.960675,11:21:26.461738,1,-1.0
1,11:21:08.960675,11:21:26.612832,1,-1.0
1,11:21:08.960675,11:21:26.765810,1,-1.0
1,11:21:08.960675,11:21:26.923839,1,-1.0
1,11:21:08.960675,11:21:27.022952,-1,-1.0
1,11:21:08.960675,11:21:27.214484,-1,-1.0
1,11:21:08.960675,11:21:27.398544,-1,-1.0
1,11:21:08.960675,11:21:27.601504,-1,-1.0
1,11:21:08.960675,11:21:28.098229,-1,-1.0
1,11:21:08.960675,11:21:28.229496,-1,-1.0
1,11:21:08.960675,11:21:28.304084,-1,-1.0
1,11:21:08.960675,11:21:28.445482,-1,-1.0
1,11:21:08.960675,11:21:28.565937,-1,-1.0
1,11:21:08.960675,11:21:28.706049,-1,-1.0
1,11:21:08.960675,11:21:28.847881,1,-1.0
1,11:21:08.960675,11:21:28.935810,1,-1.0
1,11:21:08.960675,11:21:29.035898,1,-1.0
1,11:21:08.960675,11:21:29.167324,1,-1.0
