Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,13:39:07.527624,13:39:14.044536,-1,-1.0
1,13:39:07.527624,13:39:20.575981,1,-1.0
1,13:39:07.527624,13:39:21.754737,1,-1.0
1,13:39:07.527624,13:39:23.003220,1,-1.0
1,13:39:07.527624,13:39:24.104882,1,-1.0
1,13:39:07.527624,13:39:25.285293,1,-1.0
1,13:39:07.527624,13:39:26.409883,1,-1.0
1,13:39:07.527624,13:39:26.913943,1,-1.0
1,13:39:07.527624,13:39:27.800748,-1,-1.0
1,13:39:07.527624,13:39:28.013286,-1,-1.0
1,13:39:07.527624,13:39:28.247166,-1,-1.0
1,13:39:07.527624,13:39:28.450191,-1,-1.0
1,13:39:07.527624,13:39:28.671115,-1,-1.0
1,13:39:07.527624,13:39:28.894802,-1,-1.0
1,13:39:07.527624,13:39:29.130302,-1,-1.0
1,13:39:07.527624,13:39:29.383915,-1,-1.0
1,13:39:07.527624,13:39:29.666512,-1,-1.0
1,13:39:07.527624,13:39:29.938518,-1,-1.0
1,13:39:07.527624,13:39:30.254269,-1,-1.0
1,13:39:07.527624,13:39:31.364020,-1,-1.0
1,13:39:07.527624,13:39:32.939432,-1,-1.0
1,13:39:07.527624,13:39:35.133070,-1,-1.0
1,13:39:07.527624,13:39:39.436127,1,-1.0
1,13:39:07.527624,13:39:40.131784,1,-1.0
1,13:39:07.527624,13:39:41.593965,1,-1.0
1,13:39:07.527624,13:39:42.641931,1,-1.0
1,13:39:07.527624,13:39:43.526965,1,-1.0
1,13:39:07.527624,13:39:43.666562,1,-1.0
1,13:39:07.527624,13:39:44.661079,1,-1.0
1,13:39:07.527624,13:39:58.444176,1,-1.0
1,13:39:07.527624,13:40:04.738858,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
