Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:46:30.482985,09:46:31.869465,1,-1.0
1,09:46:30.482985,09:46:32.144300,1,-1.0
1,09:46:30.482985,09:46:32.571526,1,-1.0
1,09:46:30.482985,09:46:32.931638,1,-1.0
1,09:46:30.482985,09:46:33.132233,1,-1.0
1,09:46:30.482985,09:46:33.338580,1,-1.0
1,09:46:30.482985,09:46:33.565342,1,-1.0
1,09:46:30.482985,09:46:33.779539,1,-1.0
1,09:46:30.482985,09:46:33.999637,1,-1.0
1,09:46:30.482985,09:46:34.215957,1,-1.0
1,09:46:30.482985,09:46:34.412906,1,-1.0
1,09:46:30.482985,09:46:34.633005,1,-1.0
1,09:46:30.482985,09:46:34.898368,1,-1.0
1,09:46:30.482985,09:46:35.108694,1,-1.0
1,09:46:30.482985,09:46:35.328498,1,-1.0
1,09:46:30.482985,09:46:35.539306,1,-1.0
1,09:46:30.482985,09:46:35.957916,-1,-1.0
1,09:46:30.482985,09:46:36.184547,-1,-1.0
1,09:46:30.482985,09:46:36.464656,-1,-1.0
1,09:46:30.482985,09:46:37.702615,-1,-1.0
1,09:46:30.482985,09:46:38.254535,-1,-1.0
1,09:46:30.482985,09:46:38.483014,-1,-1.0
1,09:46:30.482985,09:46:38.848440,-1,-1.0
1,09:46:30.482985,09:46:39.080584,-1,-1.0
1,09:46:30.482985,09:46:39.440274,1,-1.0
1,09:46:30.482985,09:46:39.692507,-1,-1.0
1,09:46:30.482985,09:46:40.085238,1,-1.0
1,09:46:30.482985,09:46:40.369197,1,-1.0
1,09:46:30.482985,09:46:40.510983,1,-1.0
1,09:46:30.482985,09:46:40.619164,1,-1.0
1,09:46:30.482985,09:46:40.798329,1,-1.0
1,09:46:30.482985,09:46:40.952501,1,-1.0
1,09:46:30.482985,09:46:41.106922,1,-1.0
1,09:46:30.482985,09:46:41.273407,1,-1.0
1,09:46:30.482985,09:46:41.413063,1,-1.0
1,09:46:30.482985,09:46:41.563254,1,-1.0
1,09:46:30.482985,09:46:41.718106,1,-1.0
1,09:46:30.482985,09:46:41.885633,1,-1.0
1,09:46:30.482985,09:46:42.054648,1,-1.0
1,09:46:30.482985,09:46:42.329643,1,-1.0
1,09:46:30.482985,09:46:42.500823,1,-1.0
1,09:46:30.482985,09:46:42.670266,1,-1.0
1,09:46:30.482985,09:46:42.829850,1,-1.0
1,09:46:30.482985,09:46:42.998189,1,-1.0
1,09:46:30.482985,09:46:43.150789,1,-1.0
1,09:46:30.482985,09:46:43.325568,1,-1.0
1,09:46:30.482985,09:46:43.480163,1,-1.0
1,09:46:30.482985,09:46:43.697395,-1,-1.0
1,09:46:30.482985,09:46:44.013663,-1,-1.0
1,09:46:30.482985,09:46:44.375289,-1,-1.0
1,09:46:30.482985,09:46:44.660867,-1,-1.0
1,09:46:30.482985,09:46:44.936091,-1,-1.0
1,09:46:30.482985,09:46:45.389695,1,-1.0
1,09:46:30.482985,09:46:45.535194,1,-1.0
1,09:46:30.482985,09:46:45.690740,1,-1.0
1,09:46:30.482985,09:46:45.845413,1,-1.0
1,09:46:30.482985,09:46:45.985398,1,-1.0
1,09:46:30.482985,09:46:46.164273,1,-1.0
1,09:46:30.482985,09:46:46.314201,1,-1.0
1,09:46:30.482985,09:46:46.475817,1,-1.0
1,09:46:30.482985,09:46:46.640639,1,-1.0
1,09:46:30.482985,09:46:46.807374,1,-1.0
1,09:46:30.482985,09:46:46.986254,1,-1.0
1,09:46:30.482985,09:46:47.142626,1,-1.0
1,09:46:30.482985,09:46:47.316368,1,-1.0
1,09:46:30.482985,09:46:47.475035,1,-1.0
1,09:46:30.482985,09:46:47.634545,1,-1.0
1,09:46:30.482985,09:46:47.797633,1,-1.0
1,09:46:30.482985,09:46:48.125995,1,-1.0
1,09:46:30.482985,09:46:48.289313,1,-1.0
1,09:46:30.482985,09:46:48.398403,1,-1.0
1,09:46:30.482985,09:46:48.633829,1,-1.0
1,09:46:30.482985,09:46:48.966920,1,-1.0
1,09:46:30.482985,09:46:49.119065,1,-1.0
1,09:46:30.482985,09:46:49.277904,1,-1.0
1,09:46:30.482985,09:46:49.470508,1,-1.0
1,09:46:30.482985,09:46:49.672677,1,-1.0
1,09:46:30.482985,09:46:49.790844,1,-1.0
1,09:46:30.482985,09:46:50.143652,-1,-1.0
1,09:46:30.482985,09:46:50.418104,-1,-1.0
1,09:46:30.482985,09:46:50.632463,-1,-1.0
1,09:46:30.482985,09:46:50.825124,-1,-1.0
1,09:46:30.482985,09:46:51.175221,1,-1.0
1,09:46:30.482985,09:46:51.325109,1,-1.0
1,09:46:30.482985,09:46:51.485133,1,-1.0
1,09:46:30.482985,09:46:51.646512,1,-1.0
1,09:46:30.482985,09:46:51.981125,1,-1.0
1,09:46:30.482985,09:46:52.171933,1,-1.0
1,09:46:30.482985,09:46:52.316665,1,-1.0
1,09:46:30.482985,09:46:52.468930,1,-1.0
1,09:46:30.482985,09:46:52.697537,1,-1.0
1,09:46:30.482985,09:46:52.848543,1,-1.0
1,09:46:30.482985,09:46:53.239883,1,-1.0
1,09:46:30.482985,09:46:53.386930,1,-1.0
1,09:46:30.482985,09:46:53.560565,1,-1.0
1,09:46:30.482985,09:46:53.717043,1,-1.0
1,09:46:30.482985,09:46:54.041180,1,-1.0
1,09:46:30.482985,09:46:54.246149,1,-1.0
1,09:46:30.482985,09:46:54.402883,1,-1.0
1,09:46:30.482985,09:46:54.536248,1,-1.0
1,09:46:30.482985,09:46:54.741314,1,-1.0
1,09:46:30.482985,09:46:54.939337,1,-1.0
1,09:46:30.482985,09:46:55.100366,1,-1.0
1,09:46:30.482985,09:46:55.272141,1,-1.0
1,09:46:30.482985,09:46:55.635361,1,-1.0
1,09:46:30.482985,09:46:55.803048,1,-1.0
1,09:46:30.482985,09:46:55.976035,1,-1.0
1,09:46:30.482985,09:46:56.164453,1,-1.0
1,09:46:30.482985,09:46:56.332871,1,-1.0
1,09:46:30.482985,09:46:56.518486,1,-1.0
1,09:46:30.482985,09:46:56.703939,1,-1.0
1,09:46:30.482985,09:46:56.911168,1,-1.0
1,09:46:30.482985,09:46:57.090952,1,-1.0
1,09:46:30.482985,09:46:57.293445,1,-1.0
1,09:46:30.482985,09:46:57.487487,1,-1.0
1,09:46:30.482985,09:46:57.641477,1,-1.0
1,09:46:30.482985,09:46:57.841023,1,-1.0
1,09:46:30.482985,09:46:58.022782,1,-1.0
1,09:46:30.482985,09:46:58.219780,1,-1.0
1,09:46:30.482985,09:46:58.363841,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,09:46:58.676461,09:46:59.633496,1,-1.0
2,09:46:58.676461,09:46:59.762230,1,-1.0
2,09:46:58.676461,09:46:59.958031,1,-1.0
2,09:46:58.676461,09:47:00.111986,1,-1.0
2,09:46:58.676461,09:47:00.288734,1,-1.0
2,09:46:58.676461,09:47:00.451530,1,-1.0
2,09:46:58.676461,09:47:00.622254,1,-1.0
2,09:46:58.676461,09:47:00.789562,1,-1.0
2,09:46:58.676461,09:47:01.078571,-1,-1.0
2,09:46:58.676461,09:47:01.498380,-1,-1.0
2,09:46:58.676461,09:47:01.708909,-1,-1.0
2,09:46:58.676461,09:47:02.545362,-1,-1.0
2,09:46:58.676461,09:47:03.065442,-1,-1.0
2,09:46:58.676461,09:47:03.727495,-1,-1.0
2,09:46:58.676461,09:47:04.069199,1,-1.0
2,09:46:58.676461,09:47:04.219632,1,-1.0
2,09:46:58.676461,09:47:04.391930,1,-1.0
2,09:46:58.676461,09:47:04.554584,1,-1.0
2,09:46:58.676461,09:47:04.729573,1,-1.0
2,09:46:58.676461,09:47:04.901857,1,-1.0
2,09:46:58.676461,09:47:05.061997,1,-1.0
2,09:46:58.676461,09:47:05.234583,1,-1.0
2,09:46:58.676461,09:47:05.400881,1,-1.0
2,09:46:58.676461,09:47:05.557222,1,-1.0
2,09:46:58.676461,09:47:05.731474,1,-1.0
2,09:46:58.676461,09:47:05.880775,1,-1.0
2,09:46:58.676461,09:47:06.044383,1,-1.0
2,09:46:58.676461,09:47:06.244718,1,-1.0
2,09:46:58.676461,09:47:06.402548,1,-1.0
2,09:46:58.676461,09:47:06.572169,1,-1.0
2,09:46:58.676461,09:47:07.367616,-1,-1.0
2,09:46:58.676461,09:47:08.213794,1,-1.0
2,09:46:58.676461,09:47:08.387763,1,-1.0
2,09:46:58.676461,09:47:08.570600,1,-1.0
2,09:46:58.676461,09:47:08.762661,1,-1.0
2,09:46:58.676461,09:47:09.155180,1,-1.0
2,09:46:58.676461,09:47:09.311756,1,-1.0
2,09:46:58.676461,09:47:09.500691,1,-1.0
2,09:46:58.676461,09:47:09.710156,1,-1.0
2,09:46:58.676461,09:47:09.888811,1,-1.0
2,09:46:58.676461,09:47:10.070499,1,-1.0
2,09:46:58.676461,09:47:10.261376,1,-1.0
2,09:46:58.676461,09:47:10.442195,1,-1.0
2,09:46:58.676461,09:47:10.627711,1,-1.0
2,09:46:58.676461,09:47:10.829847,1,-1.0
2,09:46:58.676461,09:47:11.024204,1,-1.0
2,09:46:58.676461,09:47:11.207234,1,-1.0
2,09:46:58.676461,09:47:11.386152,1,-1.0
2,09:46:58.676461,09:47:11.579536,1,-1.0
2,09:46:58.676461,09:47:11.749472,1,-1.0
2,09:46:58.676461,09:47:11.939945,1,-1.0
2,09:46:58.676461,09:47:12.140230,1,-1.0
2,09:46:58.676461,09:47:12.319838,1,-1.0
2,09:46:58.676461,09:47:12.513595,1,-1.0
2,09:46:58.676461,09:47:12.722763,1,-1.0
2,09:46:58.676461,09:47:13.290228,1,-1.0
2,09:46:58.676461,09:47:13.493541,1,-1.0
2,09:46:58.676461,09:47:13.702304,1,-1.0
2,09:46:58.676461,09:47:14.121292,-1,-1.0
2,09:46:58.676461,09:47:14.984412,1,-1.0
2,09:46:58.676461,09:47:15.147811,1,-1.0
2,09:46:58.676461,09:47:15.344170,1,-1.0
2,09:46:58.676461,09:47:15.584953,1,-1.0
2,09:46:58.676461,09:47:15.800858,1,-1.0
2,09:46:58.676461,09:47:16.234597,1,-1.0
2,09:46:58.676461,09:47:16.413789,1,-1.0
2,09:46:58.676461,09:47:16.634018,1,-1.0
2,09:46:58.676461,09:47:16.811998,1,-1.0
2,09:46:58.676461,09:47:17.023718,1,-1.0
2,09:46:58.676461,09:47:17.183662,1,-1.0
2,09:46:58.676461,09:47:17.394152,1,-1.0
2,09:46:58.676461,09:47:17.591775,1,-1.0
2,09:46:58.676461,09:47:17.793652,1,-1.0
2,09:46:58.676461,09:47:18.022340,1,-1.0
2,09:46:58.676461,09:47:18.204943,1,-1.0
2,09:46:58.676461,09:47:18.367158,1,-1.0
2,09:46:58.676461,09:47:18.622654,1,-1.0
2,09:46:58.676461,09:47:18.826506,1,-1.0
2,09:46:58.676461,09:47:19.067151,1,-1.0
2,09:46:58.676461,09:47:19.525028,1,-1.0
2,09:46:58.676461,09:47:19.724698,1,-1.0
2,09:46:58.676461,09:47:19.971802,1,-1.0
2,09:46:58.676461,09:47:20.157249,1,-1.0
2,09:46:58.676461,09:47:20.369673,1,-1.0
2,09:46:58.676461,09:47:20.596970,1,-1.0
2,09:46:58.676461,09:47:20.797189,1,-1.0
2,09:46:58.676461,09:47:21.671881,-1,-1.0
2,09:46:58.676461,09:47:22.480890,1,-1.0
2,09:46:58.676461,09:47:22.667323,1,-1.0
2,09:46:58.676461,09:47:22.853860,1,-1.0
2,09:46:58.676461,09:47:23.051619,1,-1.0
2,09:46:58.676461,09:47:23.239340,1,-1.0
2,09:46:58.676461,09:47:23.665551,1,-1.0
2,09:46:58.676461,09:47:23.845653,1,-1.0
2,09:46:58.676461,09:47:24.071214,1,-1.0
2,09:46:58.676461,09:47:24.296810,1,-1.0
2,09:46:58.676461,09:47:24.513855,1,-1.0
2,09:46:58.676461,09:47:24.684851,1,-1.0
2,09:46:58.676461,09:47:24.890450,1,-1.0
2,09:46:58.676461,09:47:25.085720,1,-1.0
2,09:46:58.676461,09:47:25.461647,1,-1.0
2,09:46:58.676461,09:47:25.674981,1,-1.0
2,09:46:58.676461,09:47:25.898119,1,-1.0
2,09:46:58.676461,09:47:26.298718,1,-1.0
2,09:46:58.676461,09:47:26.500922,1,-1.0
2,09:46:58.676461,09:47:26.672858,1,-1.0
2,09:46:58.676461,09:47:27.097992,1,-1.0
2,09:46:58.676461,09:47:27.286454,1,-1.0
2,09:46:58.676461,09:47:27.485307,1,-1.0
2,09:46:58.676461,09:47:27.673182,1,-1.0
2,09:46:58.676461,09:47:28.097400,1,-1.0
2,09:46:58.676461,09:47:28.261116,1,-1.0
2,09:46:58.676461,09:47:28.405299,1,-1.0
2,09:46:58.676461,09:47:28.625318,1,-1.0
2,09:46:58.676461,09:47:28.813478,1,-1.0
2,09:46:58.676461,09:47:29.229840,1,-1.0
2,09:46:58.676461,09:47:29.394170,1,-1.0
2,09:46:58.676461,09:47:29.629401,1,-1.0
2,09:46:58.676461,09:47:29.821602,1,-1.0
2,09:46:58.676461,09:47:29.984518,1,-1.0
2,09:46:58.676461,09:47:30.379153,1,-1.0
2,09:46:58.676461,09:47:30.615451,1,-1.0
2,09:46:58.676461,09:47:30.945352,1,-1.0
2,09:46:58.676461,09:47:31.169614,1,-1.0
