Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,13:52:09.187404,13:52:36.895782,1,-1.0
2,13:52:09.187404,13:52:37.225832,1,-1.0
2,13:52:09.187404,13:52:37.429220,1,-1.0
2,13:52:09.187404,13:52:37.655581,1,-1.0
2,13:52:09.187404,13:52:38.427462,-1,-1.0
2,13:52:09.187404,13:52:38.809793,-1,-1.0
2,13:52:09.187404,13:52:39.074483,-1,-1.0
2,13:52:09.187404,13:52:48.408345,-1,-1.0
2,13:52:09.187404,13:52:50.106029,1,-1.0
2,13:52:09.187404,13:52:50.597798,1,-1.0
2,13:52:09.187404,13:52:50.904446,1,-1.0
2,13:52:09.187404,13:52:51.158378,1,-1.0
2,13:52:09.187404,13:52:51.397709,1,-1.0
2,13:52:09.187404,13:52:51.725582,1,-1.0
2,13:52:09.187404,13:52:52.019879,1,-1.0
2,13:52:09.187404,13:52:52.280612,1,-1.0
2,13:52:09.187404,13:52:52.536891,1,-1.0
2,13:52:09.187404,13:52:52.770148,1,-1.0
2,13:52:09.187404,13:52:53.055126,1,-1.0
2,13:52:09.187404,13:52:53.517956,1,-1.0
2,13:52:09.187404,13:52:53.774302,1,-1.0
2,13:52:09.187404,13:52:53.956752,1,-1.0
2,13:52:09.187404,13:52:54.177512,1,-1.0
2,13:52:09.187404,13:52:54.352080,1,-1.0
2,13:52:09.187404,13:52:54.548397,1,-1.0
2,13:52:09.187404,13:52:54.788116,1,-1.0
2,13:52:09.187404,13:52:54.989953,1,-1.0
2,13:52:09.187404,13:52:55.170500,1,-1.0
2,13:52:09.187404,13:52:55.364392,1,-1.0
2,13:52:09.187404,13:52:55.526657,1,-1.0
2,13:52:09.187404,13:52:55.717225,1,-1.0
2,13:52:09.187404,13:52:56.755478,-1,-1.0
2,13:52:09.187404,13:52:57.084562,-1,-1.0
2,13:52:09.187404,13:52:57.247585,-1,-1.0
2,13:52:09.187404,13:52:57.417680,-1,-1.0
2,13:52:09.187404,13:52:57.587689,-1,-1.0
2,13:52:09.187404,13:52:57.779242,-1,-1.0
2,13:52:09.187404,13:52:57.959617,-1,-1.0
2,13:52:09.187404,13:52:58.194195,-1,-1.0
2,13:52:09.187404,13:52:58.377274,-1,-1.0
2,13:52:09.187404,13:52:58.567792,-1,-1.0
2,13:52:09.187404,13:52:58.927905,-1,-1.0
2,13:52:09.187404,13:52:59.107974,-1,-1.0
2,13:52:09.187404,13:52:59.529720,-1,-1.0
2,13:52:09.187404,13:52:59.945621,-1,-1.0
2,13:52:09.187404,13:53:02.949650,-1,-1.0
2,13:52:09.187404,13:53:03.535248,-1,-1.0
2,13:52:09.187404,13:53:05.210816,1,-1.0
